Problem,Gap ML-C,Gap 2-Opt-CL reduce,Gap 2-Opt-CL free,Gap 2-Opt-CL complete,Time ML-C,Time 2-Opt-CL reduce,Time 2-Opt-CL free,Time 2-Opt-CL complete,Operations 2-Opt-CL reduce,Operations 2-Opt-CL free,Operations 2-Opt-CL complete,Removed 2-Opt-CL reduce,Removed 2-Opt-CL free,Removed 2-Opt-CL complete
kroA100,11.630 %,10.253 %,2.533 %,4.506 %,0.387 sec,0.032 sec,0.223 sec,0.528 sec,370,12144,32795,0,56,44
kroC100,13.331 %,11.437 %,9.726 %,7.480 %,0.097 sec,0.014 sec,0.121 sec,0.554 sec,115,6098,30841,0,36,56
rd100,13.161 %,13.161 %,6.346 %,5.499 %,0.085 sec,0.017 sec,0.210 sec,0.455 sec,128,10869,25625,0,40,52
eil101,8.585 %,8.267 %,4.452 %,3.498 %,0.077 sec,0.019 sec,0.085 sec,0.326 sec,197,5232,24993,0,32,32
lin105,11.072 %,10.223 %,5.897 %,2.587 %,0.085 sec,0.030 sec,0.051 sec,0.443 sec,369,4324,41421,0,20,36
pr107,9.451 %,3.706 %,6.083 %,4.632 %,0.084 sec,0.035 sec,0.126 sec,0.295 sec,407,8378,23823,0,44,76
pr124,11.191 %,11.166 %,3.341 %,2.487 %,0.094 sec,0.019 sec,0.110 sec,0.481 sec,199,7734,38888,0,32,40
bier127,7.571 %,7.354 %,4.410 %,4.340 %,0.107 sec,0.031 sec,0.102 sec,0.436 sec,389,7733,35502,0,48,40
ch130,7.365 %,7.365 %,6.334 %,5.008 %,0.106 sec,0.017 sec,0.099 sec,0.219 sec,202,7911,19077,0,28,28
pr136,13.629 %,13.010 %,8.614 %,7.161 %,0.119 sec,0.027 sec,0.125 sec,0.612 sec,284,9819,48008,0,40,72
gr137,15.836 %,14.788 %,6.554 %,2.518 %,0.112 sec,0.033 sec,0.276 sec,0.562 sec,338,19277,49193,0,52,52
pr144,5.735 %,3.384 %,2.315 %,2.252 %,0.116 sec,0.039 sec,0.118 sec,0.258 sec,349,9562,22357,0,24,28
kroA150,10.025 %,6.764 %,4.505 %,2.880 %,0.116 sec,0.107 sec,0.331 sec,0.770 sec,1323,22645,56245,0,48,48
pr152,6.673 %,3.316 %,1.553 %,2.067 %,0.178 sec,0.120 sec,0.182 sec,0.593 sec,964,10103,37675,0,28,32
u159,9.886 %,9.156 %,4.332 %,3.767 %,0.145 sec,0.064 sec,0.271 sec,1.182 sec,422,15368,65528,0,52,52
rat195,9.987 %,8.653 %,5.080 %,5.768 %,0.268 sec,0.076 sec,0.275 sec,0.559 sec,574,14706,37858,0,40,52
d198,7.015 %,5.399 %,3.080 %,3.042 %,0.177 sec,0.122 sec,0.479 sec,1.211 sec,965,24680,86442,0,68,80
kroA200,9.112 %,8.257 %,4.318 %,4.832 %,0.216 sec,0.130 sec,0.495 sec,1.272 sec,1146,30754,91175,0,64,68
gr202,7.579 %,7.273 %,2.485 %,1.932 %,0.193 sec,0.072 sec,0.408 sec,1.087 sec,632,26767,82070,0,76,92
ts225,12.478 %,10.552 %,8.835 %,10.187 %,0.200 sec,0.025 sec,0.308 sec,0.311 sec,194,8890,20155,0,24,20
tsp225,10.127 %,10.127 %,6.061 %,4.144 %,0.241 sec,0.035 sec,0.402 sec,1.682 sec,194,15164,108648,0,64,92
pr226,7.917 %,6.112 %,4.224 %,3.835 %,0.210 sec,0.089 sec,0.346 sec,1.110 sec,671,17932,75521,0,48,64
gr229,6.402 %,5.813 %,1.686 %,1.785 %,0.238 sec,0.152 sec,0.481 sec,1.113 sec,1809,31244,81650,0,64,68
gil262,10.681 %,9.125 %,4.626 %,5.257 %,0.356 sec,0.284 sec,0.789 sec,2.344 sec,1931,46805,149181,0,88,88
pr264,8.324 %,7.083 %,5.210 %,5.642 %,0.265 sec,0.117 sec,0.227 sec,1.095 sec,551,15359,73671,0,48,52
a280,15.626 %,14.347 %,7.251 %,8.337 %,0.296 sec,0.226 sec,0.905 sec,1.934 sec,1799,56571,146653,0,112,112
pr299,14.723 %,13.652 %,4.046 %,4.009 %,0.406 sec,0.148 sec,1.621 sec,2.992 sec,821,81938,206666,0,152,144
lin318,10.521 %,9.298 %,5.789 %,5.116 %,0.354 sec,0.306 sec,1.155 sec,3.006 sec,2140,59933,187606,0,92,128
rd400,8.612 %,6.740 %,6.047 %,4.882 %,0.504 sec,0.550 sec,0.732 sec,2.512 sec,4294,46837,171356,0,88,112
fl417,9.965 %,6.500 %,3.836 %,3.356 %,0.505 sec,0.950 sec,2.664 sec,8.405 sec,6715,147629,459775,0,136,196
gr431,9.100 %,8.362 %,4.368 %,3.835 %,0.658 sec,0.585 sec,2.065 sec,4.547 sec,3891,110489,315311,0,140,180
pr439,10.331 %,8.981 %,6.906 %,7.188 %,0.476 sec,0.266 sec,1.856 sec,5.103 sec,2274,91265,268501,0,92,96
pcb442,14.662 %,11.288 %,5.435 %,5.394 %,0.516 sec,0.557 sec,1.554 sec,5.842 sec,3595,90022,352695,0,160,176
d493,8.778 %,6.312 %,4.855 %,3.755 %,0.783 sec,1.148 sec,2.932 sec,8.496 sec,6452,141385,496666,0,180,196
att532,11.740 %,9.212 %,6.573 %,4.783 %,0.777 sec,1.049 sec,3.086 sec,8.497 sec,6630,177704,587209,0,192,248
u574,9.630 %,7.606 %,5.140 %,4.812 %,0.935 sec,0.929 sec,3.126 sec,8.588 sec,6333,182243,592502,0,184,200
rat575,10.660 %,8.608 %,5.655 %,4.769 %,0.702 sec,0.704 sec,2.515 sec,6.500 sec,5744,194077,573945,0,140,180
d657,9.634 %,8.213 %,5.003 %,4.792 %,0.940 sec,1.338 sec,4.506 sec,9.105 sec,11677,294683,638455,0,228,260
gr666,10.558 %,9.556 %,5.957 %,5.334 %,1.165 sec,1.202 sec,4.095 sec,10.382 sec,7861,246324,648218,0,208,276
u724,9.310 %,8.385 %,4.896 %,4.856 %,1.317 sec,0.830 sec,2.926 sec,9.630 sec,5778,213091,824898,0,208,256
rat783,10.891 %,9.119 %,4.560 %,3.969 %,1.257 sec,1.277 sec,4.416 sec,11.228 sec,9949,328101,945203,0,224,264
pr1002,12.881 %,11.695 %,6.799 %,5.833 %,1.696 sec,2.294 sec,10.250 sec,25.929 sec,14493,745537,2138973,0,432,476
u1060,10.771 %,9.662 %,5.347 %,4.952 %,1.981 sec,2.486 sec,9.513 sec,28.575 sec,16713,674832,2322376,0,400,448
vm1084,10.581 %,8.107 %,5.495 %,5.065 %,2.228 sec,6.175 sec,7.661 sec,23.956 sec,40316,537382,1851430,0,252,256
pcb1173,12.392 %,9.901 %,5.969 %,5.342 %,1.985 sec,2.744 sec,11.404 sec,33.232 sec,14680,793015,2673600,0,368,456
d1291,8.525 %,6.864 %,4.697 %,5.766 %,2.154 sec,2.913 sec,4.421 sec,18.786 sec,14188,301783,1406321,0,132,152
rl1304,9.447 %,8.170 %,4.993 %,4.595 %,3.210 sec,2.044 sec,8.912 sec,20.045 sec,10617,496386,1301495,0,200,224
rl1323,8.026 %,6.998 %,4.771 %,5.050 %,3.039 sec,2.907 sec,7.529 sec,17.873 sec,14488,482444,1084557,0,160,180
nrw1379,11.547 %,9.319 %,5.791 %,5.422 %,4.052 sec,9.635 sec,20.934 sec,56.847 sec,43480,1097719,3282054,0,444,512
fl1400,12.212 %,7.433 %,5.416 %,3.995 %,3.484 sec,15.079 sec,30.073 sec,78.317 sec,61975,1669452,5034838,0,572,668
u1432,14.650 %,13.233 %,7.221 %,7.148 %,3.029 sec,5.796 sec,17.104 sec,36.930 sec,21329,898753,2593201,0,456,484
fl1577,10.998 %,7.578 %,4.773 %,4.584 %,3.448 sec,8.132 sec,20.286 sec,56.480 sec,26843,1162684,3971058,0,400,488
d1655,10.923 %,9.146 %,5.735 %,5.479 %,3.572 sec,6.391 sec,17.215 sec,45.645 sec,26547,1041551,2821859,0,324,368
vm1748,12.104 %,9.584 %,6.416 %,4.704 %,5.093 sec,12.405 sec,13.942 sec,81.338 sec,50410,896674,5406711,0,432,516
