Problem,ML-model,Gap ML-C,Gap NO simple,Time ML-C,Time NO simple,Operations NO simple,Removed NO simple,First phase edges
lin105,Baseline,9.549 %,9.549 %,0.096 sec,0.000 sec,0,0,166
rd100,Baseline,14.437 %,14.437 %,0.172 sec,0.000 sec,0,0,154
kroA100,Baseline,13.453 %,13.453 %,0.174 sec,0.000 sec,0,0,158
u159,Baseline,11.999 %,11.999 %,0.233 sec,0.000 sec,0,0,246
pr124,Baseline,14.537 %,14.537 %,0.242 sec,0.000 sec,0,0,200
ch130,Baseline,6.727 %,6.727 %,0.269 sec,0.000 sec,0,0,192
gr137,Baseline,11.519 %,11.519 %,0.282 sec,0.000 sec,0,0,212
pr107,Baseline,7.909 %,7.909 %,0.211 sec,0.000 sec,0,0,162
kroA150,Baseline,10.847 %,10.847 %,0.324 sec,0.000 sec,0,0,222
kroC100,Baseline,8.714 %,8.714 %,0.191 sec,0.000 sec,0,0,158
eil101,Baseline,12.083 %,12.083 %,0.196 sec,0.000 sec,0,0,166
d198,Baseline,9.461 %,9.461 %,0.419 sec,0.000 sec,0,0,324
gr202,Baseline,8.332 %,8.332 %,0.427 sec,0.000 sec,0,0,320
bier127,Baseline,8.989 %,8.989 %,0.229 sec,0.000 sec,0,0,208
pr136,Baseline,16.157 %,16.157 %,0.277 sec,0.000 sec,0,0,224
pr144,Baseline,7.416 %,7.416 %,0.313 sec,0.000 sec,0,0,236
pr152,Baseline,6.418 %,6.418 %,0.294 sec,0.000 sec,0,0,242
rat195,Baseline,12.441 %,12.441 %,0.459 sec,0.000 sec,0,0,330
kroA200,Baseline,10.515 %,10.515 %,0.395 sec,0.000 sec,0,0,294
pr264,Baseline,10.563 %,10.563 %,0.431 sec,0.000 sec,0,0,444
tsp225,Baseline,12.717 %,12.717 %,0.510 sec,0.000 sec,0,0,348
gr229,Baseline,10.022 %,10.022 %,0.581 sec,0.000 sec,0,0,352
ts225,Baseline,10.868 %,10.868 %,0.537 sec,0.000 sec,0,0,382
pr226,Baseline,8.672 %,8.672 %,0.354 sec,0.000 sec,0,0,360
pr299,Baseline,13.513 %,13.513 %,0.844 sec,0.000 sec,0,0,456
a280,Baseline,13.028 %,13.028 %,0.691 sec,0.000 sec,0,0,448
gil262,Baseline,7.359 %,7.359 %,0.742 sec,0.000 sec,0,0,390
pcb442,Baseline,10.798 %,10.798 %,1.111 sec,0.000 sec,0,0,704
gr431,Baseline,15.140 %,15.140 %,1.221 sec,0.000 sec,0,0,656
att532,Baseline,10.614 %,10.614 %,1.130 sec,0.000 sec,0,0,814
rd400,Baseline,10.529 %,10.529 %,1.314 sec,0.000 sec,0,0,594
lin318,Baseline,13.488 %,13.488 %,0.836 sec,0.000 sec,0,0,490
rat575,Baseline,11.000 %,11.000 %,1.736 sec,0.000 sec,0,0,898
fl417,Baseline,13.717 %,13.717 %,0.898 sec,0.000 sec,0,0,646
d493,Baseline,8.538 %,8.538 %,1.175 sec,0.000 sec,0,0,752
pr439,Baseline,9.856 %,9.856 %,1.296 sec,0.000 sec,0,0,688
gr666,Baseline,12.101 %,12.101 %,2.281 sec,0.000 sec,0,0,1028
u574,Baseline,11.497 %,11.497 %,2.140 sec,0.000 sec,0,0,872
rat783,Baseline,10.087 %,10.087 %,3.243 sec,0.000 sec,0,0,1208
d657,Baseline,10.677 %,10.677 %,2.732 sec,0.000 sec,0,0,994
pcb1173,Baseline,11.634 %,11.634 %,3.691 sec,0.000 sec,0,0,1868
u724,Baseline,7.862 %,7.862 %,2.556 sec,0.000 sec,0,0,1124
u1060,Baseline,11.629 %,11.629 %,5.007 sec,0.000 sec,0,0,1620
nrw1379,Baseline,10.376 %,10.376 %,4.963 sec,0.000 sec,0,0,2144
pr1002,Baseline,11.915 %,11.915 %,3.696 sec,0.000 sec,0,0,1528
rl1304,Baseline,10.846 %,10.846 %,6.164 sec,0.000 sec,0,0,2120
d1655,Baseline,11.506 %,11.506 %,5.336 sec,0.000 sec,0,0,2690
u1432,Baseline,13.065 %,13.065 %,5.637 sec,0.000 sec,0,0,2272
vm1084,Baseline,12.688 %,12.688 %,3.506 sec,0.000 sec,0,0,1676
d1291,Baseline,7.161 %,7.161 %,4.594 sec,0.000 sec,0,0,2136
rl1323,Baseline,9.248 %,9.248 %,3.540 sec,0.000 sec,0,0,2156
fl1400,Baseline,11.731 %,11.731 %,4.348 sec,0.000 sec,0,0,2188
fl1577,Baseline,12.261 %,12.261 %,3.655 sec,0.000 sec,0,0,2652
vm1748,Baseline,10.473 %,10.473 %,5.843 sec,0.000 sec,0,0,2794
