Problem,Gap ML-C,Gap 2-Opt reduce,Gap 2-Opt free,Gap 2-Opt complete,Time ML-C,Time 2-Opt reduce,Time 2-Opt free,Time 2-Opt complete,Operations 2-Opt reduce,Operations 2-Opt free,Operations 2-Opt complete,Removed 2-Ops reduce,Removed 2-Opt free,Removed 2-Opt complete
kroA100,12.527 %,8.721 %,4.826 %,2.885 %,0.236 sec,0.038 sec,0.040 sec,0.113 sec,1469,22229,81606,0,56,68
kroC100,11.249 %,11.027 %,4.236 %,5.070 %,0.079 sec,0.010 sec,0.034 sec,0.062 sec,358,19202,45774,0,40,56
rd100,6.448 %,5.525 %,3.793 %,2.769 %,0.076 sec,0.022 sec,0.022 sec,0.080 sec,924,12001,62004,0,28,40
eil101,13.196 %,12.878 %,4.769 %,5.882 %,0.079 sec,0.012 sec,0.027 sec,0.064 sec,385,14240,50339,0,44,48
lin105,12.282 %,12.233 %,3.004 %,1.607 %,0.078 sec,0.011 sec,0.026 sec,0.124 sec,387,14554,96158,0,28,44
pr107,7.379 %,4.178 %,4.079 %,3.598 %,0.085 sec,0.020 sec,0.009 sec,0.038 sec,742,3905,27685,0,16,32
pr124,9.192 %,7.113 %,3.332 %,4.288 %,0.093 sec,0.032 sec,0.029 sec,0.114 sec,1063,16108,89339,0,24,36
bier127,5.731 %,5.012 %,4.349 %,0.628 %,0.102 sec,0.053 sec,0.051 sec,0.100 sec,1742,29257,74437,0,44,60
ch130,10.131 %,9.165 %,7.627 %,6.416 %,0.113 sec,0.056 sec,0.028 sec,0.111 sec,2225,17915,98184,0,24,36
pr136,12.142 %,11.783 %,10.274 %,7.896 %,0.105 sec,0.014 sec,0.023 sec,0.120 sec,322,14460,107833,0,20,44
gr137,11.983 %,10.265 %,10.000 %,7.608 %,0.107 sec,0.068 sec,0.030 sec,0.098 sec,2206,19136,84515,0,16,36
pr144,5.175 %,3.582 %,3.418 %,1.541 %,0.114 sec,0.031 sec,0.021 sec,0.143 sec,894,13369,129657,0,12,48
kroA150,10.768 %,6.771 %,5.497 %,2.296 %,0.126 sec,0.050 sec,0.069 sec,0.227 sec,1813,49350,200602,0,20,44
pr152,7.173 %,5.697 %,3.948 %,1.544 %,0.109 sec,0.045 sec,0.034 sec,0.131 sec,1383,22214,106857,0,32,36
u159,11.495 %,9.701 %,4.370 %,4.004 %,0.116 sec,0.038 sec,0.058 sec,0.198 sec,1135,38110,178068,0,24,40
rat195,10.805 %,10.805 %,9.255 %,7.189 %,0.170 sec,0.018 sec,0.031 sec,0.206 sec,435,19852,189665,0,24,56
d198,9.100 %,8.378 %,6.172 %,5.501 %,0.161 sec,0.061 sec,0.124 sec,0.347 sec,1927,85901,287205,0,60,72
kroA200,13.470 %,10.283 %,7.678 %,5.414 %,0.177 sec,0.182 sec,0.180 sec,0.699 sec,6045,114781,556203,0,104,104
gr202,8.684 %,7.317 %,5.297 %,4.113 %,0.165 sec,0.187 sec,0.175 sec,0.439 sec,5938,113590,345622,0,48,112
ts225,11.210 %,9.033 %,8.875 %,7.504 %,0.189 sec,0.082 sec,0.039 sec,0.328 sec,1670,21045,265982,0,12,32
tsp225,11.733 %,9.013 %,6.423 %,4.766 %,0.194 sec,0.155 sec,0.178 sec,0.490 sec,4072,114958,390711,0,60,80
pr226,13.416 %,8.238 %,5.574 %,4.865 %,0.185 sec,0.295 sec,0.111 sec,0.602 sec,7550,59312,486794,0,52,60
gr229,11.686 %,10.925 %,6.826 %,6.465 %,0.223 sec,0.174 sec,0.350 sec,0.663 sec,4846,232284,536472,0,92,108
gil262,7.023 %,5.130 %,4.247 %,2.649 %,0.262 sec,0.251 sec,0.189 sec,0.729 sec,6421,122794,586932,0,40,68
pr264,7.502 %,7.095 %,5.585 %,4.357 %,0.225 sec,0.113 sec,0.121 sec,0.520 sec,2450,75097,426280,0,24,44
