Problem,Gap ML-C,Gap 2-Opt-CL reduce,Gap 2-Opt-CL free,Gap 2-Opt-CL complete,Time ML-C,Time 2-Opt-CL reduce,Time 2-Opt-CL free,Time 2-Opt-CL complete,Operations 2-Opt-CL reduce,Operations 2-Opt-CL free,Operations 2-Opt-CL complete,Removed 2-Opt-CL reduce,Removed 2-Opt-CL free,Removed 2-Opt-CL complete
kroA100,12.701 %,11.846 %,5.037 %,4.393 %,0.739 sec,0.041 sec,0.138 sec,0.339 sec,730,10918,30672,0,36,48
kroC100,6.988 %,6.367 %,3.788 %,3.046 %,0.131 sec,0.047 sec,0.110 sec,0.223 sec,722,8324,16647,0,28,36
rd100,12.389 %,11.214 %,3.047 %,2.137 %,0.141 sec,0.059 sec,0.138 sec,0.389 sec,872,11061,32955,0,40,48
eil101,9.539 %,8.267 %,4.134 %,4.769 %,0.142 sec,0.043 sec,0.095 sec,0.220 sec,629,7422,18837,0,32,36
lin105,11.809 %,11.419 %,6.315 %,2.587 %,0.125 sec,0.020 sec,0.114 sec,0.387 sec,253,9368,35489,0,44,44
pr107,9.340 %,7.397 %,4.406 %,4.763 %,0.191 sec,0.062 sec,0.305 sec,0.389 sec,1052,22256,34423,0,68,60
pr124,10.886 %,9.211 %,4.735 %,1.523 %,0.202 sec,0.154 sec,0.193 sec,0.458 sec,3556,12876,39507,0,40,40
bier127,7.212 %,7.101 %,3.346 %,3.278 %,0.177 sec,0.026 sec,0.130 sec,0.467 sec,288,8839,29992,0,52,48
ch130,8.052 %,7.234 %,3.912 %,3.404 %,0.180 sec,0.037 sec,0.149 sec,0.307 sec,468,10966,29436,0,48,60
pr136,10.161 %,4.998 %,4.046 %,2.062 %,0.223 sec,0.048 sec,0.171 sec,0.244 sec,694,11700,21471,0,20,24
gr137,8.436 %,7.003 %,5.577 %,4.783 %,0.193 sec,0.057 sec,0.243 sec,0.341 sec,901,17591,36560,0,36,32
pr144,8.584 %,4.165 %,2.988 %,3.564 %,0.288 sec,0.301 sec,0.246 sec,0.417 sec,8284,16605,33815,0,12,16
kroA150,10.658 %,9.316 %,5.885 %,3.012 %,0.225 sec,0.118 sec,0.206 sec,0.798 sec,1745,13858,71599,0,44,60
pr152,7.675 %,3.008 %,1.531 %,2.026 %,0.290 sec,0.452 sec,0.237 sec,0.598 sec,12381,17379,46472,0,8,8
u159,8.945 %,6.017 %,4.468 %,2.659 %,0.238 sec,0.131 sec,0.307 sec,0.711 sec,1664,21536,55474,0,40,60
rat195,11.881 %,10.288 %,5.553 %,6.027 %,0.243 sec,0.028 sec,0.162 sec,0.612 sec,261,11717,49937,0,56,60
d198,7.795 %,5.773 %,4.531 %,4.347 %,0.320 sec,0.207 sec,0.343 sec,0.840 sec,2644,22678,71707,0,48,56
