Problem,ML-model,Gap ML-C,Gap NO simple,Time ML-C,Time NO simple,Operations NO simple,Removed NO simple,First phase edges
lin105,Ensemble,11.809 %,11.809 %,0.234 sec,0.000 sec,0,0,166
kroA100,Ensemble,12.701 %,12.701 %,0.244 sec,0.000 sec,0,0,138
kroC100,Ensemble,6.988 %,6.988 %,0.197 sec,0.000 sec,0,0,138
rd100,Ensemble,12.389 %,12.389 %,0.448 sec,0.000 sec,0,0,138
pr107,Ensemble,9.340 %,9.340 %,0.292 sec,0.000 sec,0,0,146
ch130,Ensemble,8.052 %,8.052 %,0.566 sec,0.000 sec,0,0,196
gr137,Ensemble,8.436 %,8.436 %,0.603 sec,0.000 sec,0,0,200
pr124,Ensemble,10.886 %,10.886 %,0.618 sec,0.000 sec,0,0,140
kroA150,Ensemble,10.658 %,10.658 %,0.673 sec,0.000 sec,0,0,198
eil101,Ensemble,9.539 %,9.539 %,0.283 sec,0.000 sec,0,0,142
u159,Ensemble,8.945 %,8.945 %,0.734 sec,0.000 sec,0,0,224
gr202,Ensemble,6.216 %,6.216 %,0.797 sec,0.000 sec,0,0,284
d198,Ensemble,7.795 %,7.795 %,0.873 sec,0.000 sec,0,0,276
bier127,Ensemble,7.212 %,7.212 %,0.535 sec,0.000 sec,0,0,190
pr136,Ensemble,10.161 %,10.161 %,0.675 sec,0.000 sec,0,0,192
pr264,Ensemble,7.101 %,7.101 %,0.594 sec,0.000 sec,0,0,466
tsp225,Ensemble,8.677 %,8.677 %,1.008 sec,0.000 sec,0,0,298
pr144,Ensemble,8.584 %,8.584 %,0.863 sec,0.000 sec,0,0,122
kroA200,Ensemble,10.259 %,10.259 %,0.590 sec,0.000 sec,0,0,296
rat195,Ensemble,11.881 %,11.881 %,0.755 sec,0.000 sec,0,0,330
gr229,Ensemble,8.808 %,8.808 %,1.030 sec,0.000 sec,0,0,320
pr152,Ensemble,7.675 %,7.675 %,0.897 sec,0.000 sec,0,0,110
ts225,Ensemble,6.644 %,6.644 %,1.352 sec,0.000 sec,0,0,270
a280,Ensemble,15.510 %,15.510 %,1.029 sec,0.000 sec,0,0,334
pr226,Ensemble,12.439 %,12.439 %,1.074 sec,0.000 sec,0,0,168
gil262,Ensemble,9.420 %,9.420 %,1.248 sec,0.000 sec,0,0,394
pr299,Ensemble,10.722 %,10.722 %,1.810 sec,0.000 sec,0,0,410
rd400,Ensemble,10.150 %,10.150 %,2.254 sec,0.000 sec,0,0,584
gr431,Ensemble,12.636 %,12.636 %,2.598 sec,0.000 sec,0,0,608
rat575,Ensemble,10.439 %,10.439 %,2.569 sec,0.000 sec,0,0,828
pcb442,Ensemble,11.688 %,11.688 %,2.776 sec,0.000 sec,0,0,584
lin318,Ensemble,12.120 %,12.120 %,1.503 sec,0.000 sec,0,0,494
att532,Ensemble,10.903 %,10.903 %,3.026 sec,0.000 sec,0,0,756
rat783,Ensemble,8.809 %,8.809 %,3.188 sec,0.000 sec,0,0,1158
pr439,Ensemble,12.251 %,12.251 %,2.123 sec,0.000 sec,0,0,692
fl417,Ensemble,9.030 %,9.030 %,3.016 sec,0.000 sec,0,0,506
gr666,Ensemble,14.996 %,14.996 %,4.634 sec,0.000 sec,0,0,946
d657,Ensemble,9.164 %,9.164 %,2.797 sec,0.000 sec,0,0,932
d493,Ensemble,8.649 %,8.649 %,3.563 sec,0.000 sec,0,0,612
u574,Ensemble,11.465 %,11.465 %,3.813 sec,0.000 sec,0,0,824
pr1002,Ensemble,12.673 %,12.673 %,4.581 sec,0.000 sec,0,0,1502
pcb1173,Ensemble,13.731 %,13.731 %,8.191 sec,0.000 sec,0,0,1772
u724,Ensemble,10.124 %,10.124 %,4.876 sec,0.000 sec,0,0,980
u1060,Ensemble,11.617 %,11.617 %,9.530 sec,0.000 sec,0,0,1404
rl1304,Ensemble,12.786 %,12.786 %,9.916 sec,0.000 sec,0,0,1682
d1291,Ensemble,7.338 %,7.338 %,4.340 sec,0.000 sec,0,0,2080
nrw1379,Ensemble,8.586 %,8.586 %,9.152 sec,0.000 sec,0,0,1834
d1655,Ensemble,10.355 %,10.355 %,8.740 sec,0.000 sec,0,0,2548
vm1084,Ensemble,11.400 %,11.400 %,5.318 sec,0.000 sec,0,0,1406
u1432,Ensemble,10.131 %,10.131 %,12.054 sec,0.000 sec,0,0,1542
rl1323,Ensemble,9.444 %,9.444 %,7.181 sec,0.000 sec,0,0,1808
fl1400,Ensemble,10.791 %,10.791 %,10.625 sec,0.000 sec,0,0,1392
fl1577,Ensemble,13.560 %,13.560 %,8.613 sec,0.000 sec,0,0,1986
vm1748,Ensemble,15.339 %,15.339 %,11.682 sec,0.000 sec,0,0,2270
