Problem,Gap ML-C,Gap 2-Opt reduce,Gap 2-Opt free,Gap 2-Opt complete,Time ML-C,Time 2-Opt reduce,Time 2-Opt free,Time 2-Opt complete,Operations 2-Opt reduce,Operations 2-Opt free,Operations 2-Opt complete,Removed 2-Ops reduce,Removed 2-Opt free,Removed 2-Opt complete
kroA100,12.701 %,11.846 %,6.348 %,4.393 %,1.524 sec,0.031 sec,0.022 sec,0.080 sec,1531,13435,67576,0,32,48
kroC100,6.988 %,6.367 %,4.342 %,3.046 %,0.128 sec,0.034 sec,0.029 sec,0.055 sec,1649,16910,46768,0,28,36
rd100,12.389 %,11.214 %,7.686 %,4.678 %,0.140 sec,0.039 sec,0.032 sec,0.086 sec,1907,21099,72599,0,28,44
eil101,9.539 %,8.267 %,6.200 %,5.246 %,0.136 sec,0.032 sec,0.018 sec,0.043 sec,1519,10612,37118,0,24,36
lin105,11.809 %,11.419 %,5.974 %,2.072 %,0.123 sec,0.014 sec,0.026 sec,0.098 sec,486,15462,86150,0,32,44
pr107,9.340 %,7.033 %,5.286 %,4.325 %,0.184 sec,0.056 sec,0.049 sec,0.095 sec,2639,33650,79319,0,48,64
pr124,10.886 %,9.211 %,7.056 %,2.736 %,0.200 sec,0.138 sec,0.036 sec,0.146 sec,8182,23566,127402,0,32,40
bier127,7.212 %,7.101 %,3.630 %,3.383 %,0.175 sec,0.028 sec,0.036 sec,0.111 sec,1106,21134,93126,0,40,52
ch130,8.052 %,7.234 %,4.223 %,2.995 %,0.177 sec,0.033 sec,0.054 sec,0.093 sec,1246,34741,80418,0,44,56
pr136,10.161 %,5.412 %,4.494 %,3.178 %,0.220 sec,0.070 sec,0.039 sec,0.056 sec,2797,23992,49636,0,20,28
gr137,8.436 %,7.003 %,4.959 %,5.244 %,0.191 sec,0.066 sec,0.052 sec,0.117 sec,2717,35342,102405,0,28,44
pr144,8.584 %,2.260 %,2.709 %,1.642 %,0.282 sec,0.463 sec,0.079 sec,0.144 sec,35468,54759,131072,0,12,8
