Problem,Gap ML-C,Gap 2-Opt-CL reduce,Gap 2-Opt-CL free,Gap 2-Opt-CL complete,Time ML-C,Time 2-Opt-CL reduce,Time 2-Opt-CL free,Time 2-Opt-CL complete,Operations 2-Opt-CL reduce,Operations 2-Opt-CL free,Operations 2-Opt-CL complete,Removed 2-Opt-CL reduce,Removed 2-Opt-CL free,Removed 2-Opt-CL complete
kroA100,13.462 %,9.661 %,4.746 %,7.885 %,0.125 sec,0.091 sec,0.204 sec,0.260 sec,1834,15001,21850,0,44,48
kroC100,5.239 %,4.607 %,1.990 %,1.562 %,0.117 sec,0.091 sec,0.226 sec,0.204 sec,1873,15272,14992,0,28,24
rd100,8.407 %,6.764 %,6.751 %,6.751 %,0.170 sec,0.270 sec,0.131 sec,0.231 sec,9624,9459,19085,0,4,4
eil101,4.452 %,4.134 %,4.134 %,4.134 %,0.194 sec,0.058 sec,0.084 sec,0.038 sec,2999,5944,2999,0,0,0
lin105,8.179 %,5.661 %,5.244 %,4.381 %,0.128 sec,0.106 sec,0.115 sec,0.217 sec,2371,8248,21270,0,4,12
pr107,10.620 %,9.990 %,5.643 %,5.844 %,0.127 sec,0.049 sec,0.253 sec,0.388 sec,694,16523,32065,0,60,64
pr124,13.024 %,11.848 %,2.299 %,3.046 %,0.126 sec,0.054 sec,0.259 sec,0.455 sec,795,17685,41178,0,20,24
bier127,4.275 %,3.869 %,2.393 %,1.640 %,0.142 sec,0.079 sec,0.173 sec,0.258 sec,999,11940,19503,0,32,28
ch130,7.005 %,4.910 %,4.910 %,4.910 %,0.257 sec,0.377 sec,0.221 sec,0.267 sec,14299,16878,22106,0,0,0
pr136,13.810 %,13.753 %,8.820 %,8.009 %,0.127 sec,0.010 sec,0.113 sec,0.383 sec,58,8905,32484,0,56,56
gr137,8.713 %,6.050 %,2.756 %,2.734 %,0.136 sec,0.042 sec,0.165 sec,0.335 sec,537,12447,30630,0,32,36
pr144,5.479 %,3.767 %,3.825 %,4.320 %,0.177 sec,0.173 sec,0.147 sec,0.242 sec,2633,11076,21477,0,12,12
kroA150,12.521 %,8.215 %,4.713 %,4.524 %,0.214 sec,0.488 sec,0.245 sec,0.895 sec,10498,16567,75168,0,28,32
pr152,7.196 %,2.518 %,1.525 %,2.026 %,0.167 sec,0.138 sec,0.149 sec,0.506 sec,2107,9605,42641,0,12,12
u159,12.483 %,6.706 %,4.318 %,3.945 %,0.186 sec,0.172 sec,0.482 sec,0.860 sec,2752,35889,72753,0,44,40
