Problem,ML-model,Gap ML-C,Gap NO simple,Time ML-C,Time NO simple,Operations NO simple,Removed NO simple,First phase edges
lin105,Linear Underbalanced,8.179 %,8.179 %,0.344 sec,0.000 sec,0,0,114
kroA100,Linear Underbalanced,13.462 %,13.462 %,0.343 sec,0.000 sec,0,0,120
gr137,Linear Underbalanced,8.713 %,8.713 %,0.351 sec,0.000 sec,0,0,202
pr124,Linear Underbalanced,13.024 %,13.024 %,0.372 sec,0.000 sec,0,0,182
rd100,Linear Underbalanced,8.407 %,8.407 %,0.458 sec,0.000 sec,0,0,58
u159,Linear Underbalanced,12.483 %,12.483 %,0.551 sec,0.000 sec,0,0,226
bier127,Linear Underbalanced,4.275 %,4.275 %,0.229 sec,0.000 sec,0,0,176
kroA150,Linear Underbalanced,12.521 %,12.521 %,0.630 sec,0.000 sec,0,0,164
kroC100,Linear Underbalanced,5.239 %,5.239 %,0.332 sec,0.000 sec,0,0,116
ch130,Linear Underbalanced,7.005 %,7.005 %,0.699 sec,0.000 sec,0,0,60
pr107,Linear Underbalanced,10.620 %,10.620 %,0.357 sec,0.000 sec,0,0,156
pr144,Linear Underbalanced,5.479 %,5.479 %,0.478 sec,0.000 sec,0,0,196
pr136,Linear Underbalanced,13.810 %,13.810 %,0.205 sec,0.000 sec,0,0,240
eil101,Linear Underbalanced,4.452 %,4.452 %,0.489 sec,0.000 sec,0,0,0
gr202,Linear Underbalanced,6.011 %,6.011 %,0.966 sec,0.000 sec,0,0,182
pr152,Linear Underbalanced,7.196 %,7.196 %,0.483 sec,0.000 sec,0,0,206
gr229,Linear Underbalanced,9.640 %,9.640 %,0.579 sec,0.000 sec,0,0,300
d198,Linear Underbalanced,5.089 %,5.089 %,1.373 sec,0.000 sec,0,0,64
ts225,Linear Underbalanced,2.577 %,2.577 %,0.423 sec,0.000 sec,0,0,392
rat195,Linear Underbalanced,7.060 %,7.060 %,1.162 sec,0.000 sec,0,0,0
pr264,Linear Underbalanced,6.338 %,6.338 %,1.094 sec,0.000 sec,0,0,374
tsp225,Linear Underbalanced,11.370 %,11.370 %,1.322 sec,0.000 sec,0,0,2
pr299,Linear Underbalanced,8.313 %,8.313 %,1.390 sec,0.000 sec,0,0,354
kroA200,Linear Underbalanced,10.859 %,10.859 %,0.878 sec,0.000 sec,0,0,216
pr226,Linear Underbalanced,16.811 %,16.811 %,0.636 sec,0.000 sec,0,0,288
pcb442,Linear Underbalanced,9.445 %,9.445 %,1.922 sec,0.000 sec,0,0,450
gil262,Linear Underbalanced,10.513 %,10.513 %,2.011 sec,0.000 sec,0,0,0
gr431,Linear Underbalanced,11.278 %,11.278 %,2.584 sec,0.000 sec,0,0,490
lin318,Linear Underbalanced,7.811 %,7.811 %,1.587 sec,0.000 sec,0,0,332
a280,Linear Underbalanced,13.610 %,13.610 %,2.402 sec,0.000 sec,0,0,0
rd400,Linear Underbalanced,9.980 %,9.980 %,3.700 sec,0.000 sec,0,0,96
pr439,Linear Underbalanced,8.864 %,8.864 %,2.077 sec,0.000 sec,0,0,634
gr666,Linear Underbalanced,11.922 %,11.922 %,4.724 sec,0.000 sec,0,0,816
d493,Linear Underbalanced,9.446 %,9.446 %,4.853 sec,0.000 sec,0,0,216
att532,Linear Underbalanced,10.335 %,10.335 %,6.978 sec,0.000 sec,0,0,190
rat575,Linear Underbalanced,8.283 %,8.283 %,6.766 sec,0.000 sec,0,0,0
fl417,Linear Underbalanced,10.505 %,10.505 %,4.179 sec,0.000 sec,0,0,42
u574,Linear Underbalanced,9.362 %,9.362 %,4.374 sec,0.000 sec,0,0,308
rl1304,Linear Underbalanced,12.207 %,12.207 %,10.991 sec,0.000 sec,0,0,1954
rat783,Linear Underbalanced,9.284 %,9.284 %,13.695 sec,0.000 sec,0,0,0
u1060,Linear Underbalanced,9.977 %,9.977 %,14.103 sec,0.000 sec,0,0,1198
d657,Linear Underbalanced,7.154 %,7.154 %,9.427 sec,0.000 sec,0,0,404
u724,Linear Underbalanced,10.055 %,10.055 %,11.330 sec,0.000 sec,0,0,338
pr1002,Linear Underbalanced,11.234 %,11.234 %,4.647 sec,0.000 sec,0,0,1360
rl1323,Linear Underbalanced,7.746 %,7.746 %,6.195 sec,0.000 sec,0,0,2022
pcb1173,Linear Underbalanced,11.343 %,11.343 %,19.337 sec,0.000 sec,0,0,398
vm1084,Linear Underbalanced,10.963 %,10.963 %,6.862 sec,0.000 sec,0,0,1344
u1432,Linear Underbalanced,8.294 %,8.294 %,19.098 sec,0.000 sec,0,0,1036
nrw1379,Linear Underbalanced,9.776 %,9.776 %,26.636 sec,0.000 sec,0,0,186
d1655,Linear Underbalanced,11.097 %,11.097 %,32.057 sec,0.000 sec,0,0,214
d1291,Linear Underbalanced,9.403 %,9.403 %,17.958 sec,0.000 sec,0,0,438
fl1400,Linear Underbalanced,8.844 %,8.844 %,19.773 sec,0.000 sec,0,0,88
fl1577,Linear Underbalanced,13.016 %,13.016 %,26.237 sec,0.000 sec,0,0,6
vm1748,Linear Underbalanced,10.166 %,10.166 %,15.438 sec,0.000 sec,0,0,1922
