Problem,Gap ML-C,Gap 2-Opt reduce,Gap 2-Opt free,Gap 2-Opt complete,Time ML-C,Time 2-Opt reduce,Time 2-Opt free,Time 2-Opt complete,Operations 2-Opt reduce,Operations 2-Opt free,Operations 2-Opt complete,Removed 2-Ops reduce,Removed 2-Opt free,Removed 2-Opt complete
kroA100,13.462 %,8.838 %,7.701 %,7.885 %,0.196 sec,0.067 sec,0.078 sec,0.127 sec,2416,24365,65982,0,40,48
kroC100,5.239 %,4.607 %,1.668 %,1.562 %,0.132 sec,0.091 sec,0.035 sec,0.048 sec,4069,21219,33997,0,24,24
rd100,8.407 %,6.764 %,6.751 %,6.751 %,0.184 sec,0.198 sec,0.029 sec,0.046 sec,18311,18936,36894,0,4,4
eil101,4.452 %,4.134 %,4.134 %,4.134 %,0.207 sec,0.043 sec,0.017 sec,0.009 sec,6699,12007,6699,0,0,0
lin105,8.179 %,5.418 %,4.458 %,4.381 %,0.132 sec,0.106 sec,0.044 sec,0.057 sec,5781,25160,44235,0,8,12
pr107,10.620 %,7.284 %,6.365 %,3.828 %,0.129 sec,0.051 sec,0.051 sec,0.094 sec,1924,32192,71432,0,52,64
pr124,13.024 %,10.645 %,6.149 %,2.666 %,0.141 sec,0.084 sec,0.075 sec,0.205 sec,2593,33467,129280,0,20,20
bier127,4.275 %,3.869 %,2.929 %,1.640 %,0.165 sec,0.097 sec,0.058 sec,0.197 sec,3359,29508,76329,0,24,28
ch130,7.005 %,4.910 %,4.910 %,4.910 %,0.309 sec,0.541 sec,0.065 sec,0.098 sec,38288,35699,64260,0,0,0
pr136,13.810 %,13.753 %,11.016 %,8.744 %,0.145 sec,0.012 sec,0.027 sec,0.155 sec,186,9058,99836,0,28,56
gr137,8.713 %,6.050 %,5.259 %,2.985 %,0.156 sec,0.066 sec,0.030 sec,0.130 sec,1727,12936,81191,0,20,40
pr144,5.479 %,3.207 %,3.999 %,2.605 %,0.187 sec,0.236 sec,0.048 sec,0.149 sec,8192,25557,104849,0,8,12
kroA150,12.521 %,8.012 %,6.598 %,5.263 %,0.213 sec,0.650 sec,0.138 sec,0.256 sec,31768,89065,204667,0,32,36
pr152,7.196 %,2.518 %,2.869 %,2.032 %,0.167 sec,0.173 sec,0.080 sec,0.209 sec,7312,51268,173661,0,24,12
u159,12.483 %,6.706 %,9.206 %,3.945 %,0.186 sec,0.225 sec,0.080 sec,0.266 sec,8091,50283,212221,0,24,36
rat195,7.060 %,5.984 %,5.984 %,5.984 %,0.644 sec,0.594 sec,0.138 sec,0.121 sec,83136,97251,83136,0,0,0
d198,5.089 %,3.447 %,3.327 %,3.378 %,0.474 sec,2.129 sec,0.351 sec,0.350 sec,187908,255425,297832,0,4,4
kroA200,10.859 %,7.062 %,5.520 %,4.696 %,0.346 sec,1.552 sec,0.260 sec,0.611 sec,67149,176433,471190,0,28,32
gr202,6.011 %,4.820 %,3.992 %,3.388 %,0.388 sec,0.371 sec,0.185 sec,0.533 sec,19757,104097,339873,0,16,24
ts225,2.577 %,2.577 %,1.883 %,1.883 %,0.329 sec,0.033 sec,0.028 sec,0.119 sec,406,12198,68162,0,12,12
tsp225,11.370 %,6.605 %,6.630 %,6.605 %,0.887 sec,2.854 sec,0.396 sec,0.438 sec,334085,273207,336226,0,0,0
pr226,16.811 %,9.864 %,7.220 %,7.168 %,0.339 sec,1.124 sec,0.220 sec,0.954 sec,43216,141216,806968,0,48,48
gr229,9.640 %,7.190 %,4.367 %,4.376 %,0.363 sec,0.413 sec,0.389 sec,0.514 sec,14628,238387,388577,0,52,56
gil262,10.513 %,8.579 %,8.663 %,8.579 %,0.752 sec,3.448 sec,0.426 sec,0.725 sec,525126,263694,525126,0,0,0
pr264,6.338 %,4.370 %,4.530 %,4.158 %,0.600 sec,0.975 sec,0.189 sec,0.533 sec,19178,89425,296909,0,20,20
a280,13.610 %,11.012 %,7.406 %,11.012 %,1.167 sec,2.258 sec,0.611 sec,0.491 sec,351844,450115,351844,0,0,0
pr299,8.313 %,7.147 %,6.140 %,5.134 %,0.674 sec,0.956 sec,0.329 sec,1.230 sec,28131,193710,840542,0,20,48
lin318,7.811 %,4.035 %,3.959 %,3.388 %,0.927 sec,9.366 sec,0.988 sec,1.380 sec,280051,655544,1070739,0,20,24
rd400,9.980 %,6.845 %,6.387 %,6.668 %,1.950 sec,30.795 sec,2.787 sec,3.879 sec,1727344,1636670,2287433,0,0,0
fl417,10.505 %,4.418 %,4.637 %,4.418 %,1.582 sec,38.930 sec,5.785 sec,6.084 sec,3980050,3882492,4431540,0,0,0
gr431,11.278 %,9.310 %,7.977 %,7.470 %,1.376 sec,11.090 sec,2.598 sec,4.454 sec,282402,1813080,3487817,0,60,84
pr439,8.864 %,5.466 %,7.418 %,5.734 %,1.240 sec,4.310 sec,0.685 sec,2.620 sec,66828,298617,1520039,0,56,76
pcb442,9.445 %,8.291 %,7.098 %,7.001 %,1.582 sec,5.955 sec,1.263 sec,2.125 sec,158079,739866,1383232,0,36,40
d493,9.446 %,6.037 %,5.089 %,5.072 %,3.059 sec,49.577 sec,2.972 sec,4.722 sec,1896262,1979231,3500207,0,24,28
att532,10.335 %,7.635 %,7.271 %,7.348 %,3.270 sec,55.419 sec,7.019 sec,9.917 sec,3036179,4762686,5048786,0,8,8
