Problem,Gap ML-C,Gap 2-Opt-CL reduce,Gap 2-Opt-CL free,Gap 2-Opt-CL complete,Time ML-C,Time 2-Opt-CL reduce,Time 2-Opt-CL free,Time 2-Opt-CL complete,Operations 2-Opt-CL reduce,Operations 2-Opt-CL free,Operations 2-Opt-CL complete,Removed 2-Opt-CL reduce,Removed 2-Opt-CL free,Removed 2-Opt-CL complete
kroA100,13.462 %,9.661 %,4.746 %,7.885 %,0.708 sec,0.101 sec,0.241 sec,0.379 sec,1712,14524,21850,0,44,48
kroC100,5.239 %,5.022 %,1.990 %,1.562 %,0.118 sec,0.053 sec,0.234 sec,0.220 sec,1018,14815,14992,0,32,28
rd100,8.407 %,6.764 %,6.751 %,6.751 %,0.180 sec,0.271 sec,0.143 sec,0.274 sec,7631,9158,19085,0,4,4
eil101,4.452 %,4.134 %,4.134 %,4.134 %,0.205 sec,0.069 sec,0.106 sec,0.046 sec,2999,5944,2999,0,0,0
lin105,8.179 %,5.661 %,5.244 %,4.381 %,0.135 sec,0.142 sec,0.125 sec,0.266 sec,2371,8248,21270,0,4,12
pr107,12.015 %,11.232 %,7.004 %,7.451 %,0.136 sec,0.059 sec,0.236 sec,0.712 sec,772,15976,34371,0,56,56
pr124,12.616 %,11.521 %,4.140 %,3.046 %,0.127 sec,0.034 sec,0.122 sec,0.437 sec,386,7705,34619,0,16,20
bier127,3.862 %,3.555 %,2.076 %,1.364 %,0.140 sec,0.060 sec,0.130 sec,0.320 sec,647,8799,21859,0,28,28
ch130,7.692 %,5.990 %,3.781 %,5.990 %,0.269 sec,0.370 sec,0.311 sec,0.270 sec,12827,19991,22089,0,0,0
pr136,13.810 %,13.753 %,8.820 %,8.009 %,0.119 sec,0.011 sec,0.139 sec,0.413 sec,58,8905,32484,0,56,56
gr137,11.054 %,6.551 %,3.005 %,3.910 %,0.136 sec,0.085 sec,0.331 sec,0.612 sec,843,10841,37591,0,28,32
pr144,5.877 %,3.748 %,3.910 %,4.320 %,0.244 sec,0.202 sec,0.155 sec,0.392 sec,1955,10071,25260,0,8,16
kroA150,12.174 %,7.310 %,4.765 %,4.298 %,0.281 sec,0.630 sec,0.365 sec,1.031 sec,10088,17822,76792,0,36,40
pr152,6.010 %,5.558 %,1.525 %,2.026 %,0.161 sec,0.081 sec,0.099 sec,0.704 sec,754,6228,39189,0,28,28
u159,12.039 %,9.651 %,7.852 %,7.431 %,0.227 sec,0.188 sec,0.430 sec,0.774 sec,1633,22555,58926,0,52,44
rat195,7.060 %,5.984 %,5.984 %,5.984 %,0.556 sec,0.458 sec,0.361 sec,0.236 sec,19666,23719,19666,0,0,0
d198,6.020 %,3.897 %,3.479 %,3.010 %,0.473 sec,1.554 sec,0.886 sec,1.171 sec,55053,61876,88731,0,4,8
kroA200,7.021 %,5.652 %,3.122 %,2.762 %,0.337 sec,0.496 sec,0.611 sec,0.795 sec,9764,40181,62169,0,36,40
gr202,6.188 %,5.092 %,3.490 %,2.950 %,0.391 sec,0.288 sec,0.356 sec,0.817 sec,5028,22642,60876,0,16,16
ts225,8.675 %,7.805 %,6.448 %,4.894 %,0.214 sec,0.016 sec,0.065 sec,0.380 sec,68,3873,34549,0,24,16
tsp225,11.370 %,6.553 %,6.527 %,6.553 %,0.616 sec,1.397 sec,0.965 sec,0.806 sec,67701,63941,67932,0,0,0
pr226,17.249 %,11.726 %,7.273 %,7.157 %,0.302 sec,0.386 sec,0.584 sec,1.721 sec,5763,38214,141442,0,44,44
gr229,8.799 %,8.239 %,6.138 %,4.946 %,0.297 sec,0.108 sec,0.653 sec,1.191 sec,1454,36299,96336,0,64,72
gil262,10.513 %,8.579 %,8.116 %,8.579 %,0.768 sec,2.027 sec,0.643 sec,1.213 sec,101215,42922,101215,0,0,0
pr264,6.073 %,4.518 %,4.610 %,4.726 %,0.330 sec,0.219 sec,0.204 sec,0.889 sec,1946,13116,65030,0,16,20
a280,13.610 %,11.012 %,7.445 %,11.012 %,0.839 sec,1.643 sec,1.529 sec,0.634 sec,56440,70995,56440,0,0,0
pr299,8.334 %,7.771 %,4.910 %,5.096 %,0.505 sec,0.465 sec,0.834 sec,1.384 sec,6991,57340,104782,0,40,44
lin318,7.564 %,5.032 %,4.958 %,4.219 %,0.646 sec,1.812 sec,1.013 sec,1.022 sec,30305,67678,81504,0,20,20
rd400,9.980 %,6.681 %,6.662 %,6.505 %,1.603 sec,5.633 sec,2.147 sec,3.135 sec,171329,135275,240281,0,0,0
fl417,10.631 %,5.581 %,5.337 %,5.581 %,1.567 sec,8.567 sec,6.010 sec,5.691 sec,357905,345503,391350,0,0,0
gr431,12.997 %,11.047 %,10.749 %,9.178 %,0.819 sec,1.751 sec,1.631 sec,4.229 sec,28138,116424,222542,0,72,76
pr439,9.418 %,8.148 %,6.876 %,5.978 %,0.582 sec,1.024 sec,1.024 sec,2.290 sec,9498,66373,187179,0,80,88
pcb442,9.953 %,8.535 %,6.861 %,6.910 %,1.058 sec,1.829 sec,1.602 sec,2.494 sec,29451,103958,185069,0,40,44
d493,9.646 %,6.726 %,4.832 %,5.643 %,2.143 sec,6.851 sec,3.696 sec,4.358 sec,184182,204066,294951,0,40,36
att532,11.072 %,8.104 %,7.704 %,7.818 %,2.713 sec,9.432 sec,6.700 sec,5.581 sec,255274,413388,428056,0,8,8
u574,9.419 %,6.175 %,6.021 %,6.381 %,2.761 sec,11.724 sec,4.239 sec,6.540 sec,232834,325715,507430,0,8,12
rat575,8.283 %,7.397 %,7.471 %,7.397 %,3.120 sec,3.489 sec,2.286 sec,2.163 sec,161284,149504,161284,0,0,0
d657,7.622 %,5.224 %,4.985 %,5.559 %,3.318 sec,10.356 sec,7.235 sec,5.594 sec,197107,457960,483476,0,24,20
gr666,12.396 %,10.833 %,7.804 %,8.446 %,1.485 sec,2.342 sec,4.313 sec,8.431 sec,28813,326478,746481,0,120,144
u724,9.888 %,7.958 %,7.633 %,7.876 %,3.960 sec,13.814 sec,6.491 sec,8.898 sec,298666,416504,637747,0,20,20
rat783,9.284 %,6.651 %,7.047 %,6.651 %,5.337 sec,10.384 sec,7.285 sec,7.047 sec,486785,482533,487346,0,0,0
pr1002,10.876 %,9.464 %,6.233 %,5.862 %,2.893 sec,3.731 sec,13.446 sec,24.964 sec,27997,779947,1769633,0,288,288
u1060,10.403 %,7.504 %,5.715 %,5.762 %,5.480 sec,20.407 sec,20.002 sec,25.400 sec,180923,1328992,1827382,0,208,212
vm1084,11.070 %,6.520 %,4.779 %,4.353 %,3.388 sec,13.475 sec,8.403 sec,25.591 sec,110071,480906,1720550,0,156,156
pcb1173,11.594 %,7.996 %,8.170 %,7.978 %,10.167 sec,47.322 sec,16.579 sec,19.818 sec,1075109,1088758,1647349,0,4,8
d1291,9.797 %,4.646 %,5.167 %,4.646 %,12.183 sec,71.066 sec,18.346 sec,31.303 sec,1301239,1031329,1944677,0,0,0
rl1304,10.338 %,8.645 %,6.958 %,6.515 %,3.881 sec,7.268 sec,8.100 sec,16.996 sec,29165,478275,1117790,0,112,116
rl1323,7.510 %,5.566 %,5.140 %,5.063 %,3.069 sec,4.230 sec,4.871 sec,14.075 sec,20463,288610,939527,0,96,116
