Problem,Gap ML-C,Gap 2-Opt reduce,Gap 2-Opt free,Gap 2-Opt complete,Time ML-C,Time 2-Opt reduce,Time 2-Opt free,Time 2-Opt complete,Operations 2-Opt reduce,Operations 2-Opt free,Operations 2-Opt complete,Removed 2-Ops reduce,Removed 2-Opt free,Removed 2-Opt complete
kroA100,13.462 %,8.838 %,7.701 %,7.885 %,2.273 sec,0.040 sec,0.039 sec,0.079 sec,2253,23784,65982,0,40,48
kroC100,5.239 %,5.022 %,1.668 %,1.562 %,0.116 sec,0.040 sec,0.032 sec,0.042 sec,2194,20349,33997,0,28,28
rd100,8.407 %,6.764 %,6.751 %,6.751 %,0.165 sec,0.177 sec,0.030 sec,0.046 sec,14597,18738,36894,0,4,4
eil101,4.452 %,4.134 %,4.134 %,4.134 %,0.190 sec,0.041 sec,0.016 sec,0.014 sec,6699,12007,6699,0,0,0
lin105,8.179 %,5.418 %,4.458 %,4.381 %,0.120 sec,0.100 sec,0.036 sec,0.054 sec,5781,25160,44235,0,8,12
pr107,12.015 %,7.735 %,9.245 %,6.830 %,0.120 sec,0.042 sec,0.031 sec,0.094 sec,1721,18811,72651,0,32,60
pr124,12.616 %,10.318 %,6.231 %,2.666 %,0.112 sec,0.034 sec,0.039 sec,0.136 sec,1246,26104,114313,0,16,16
bier127,3.862 %,3.555 %,2.665 %,1.364 %,0.131 sec,0.050 sec,0.036 sec,0.083 sec,2227,24552,71818,0,24,28
ch130,7.692 %,6.072 %,5.319 %,6.072 %,0.254 sec,0.359 sec,0.057 sec,0.073 sec,33971,37292,59999,0,0,0
pr136,13.810 %,13.753 %,11.016 %,8.744 %,0.114 sec,0.009 sec,0.018 sec,0.114 sec,186,9058,99836,0,28,56
gr137,11.054 %,6.551 %,6.932 %,4.082 %,0.123 sec,0.081 sec,0.029 sec,0.131 sec,2817,17570,110443,0,16,36
pr144,5.877 %,3.253 %,3.999 %,2.605 %,0.161 sec,0.152 sec,0.039 sec,0.134 sec,5639,24414,114995,0,16,12
