Problem,Gap ML-C,Gap 2-Opt-CL reduce,Gap 2-Opt-CL free,Gap 2-Opt-CL complete,Time ML-C,Time 2-Opt-CL reduce,Time 2-Opt-CL free,Time 2-Opt-CL complete,Operations 2-Opt-CL reduce,Operations 2-Opt-CL free,Operations 2-Opt-CL complete,Removed 2-Opt-CL reduce,Removed 2-Opt-CL free,Removed 2-Opt-CL complete
kroA100,9.618 %,6.602 %,3.491 %,4.107 %,0.080 sec,0.064 sec,0.248 sec,0.299 sec,958,18187,26065,0,56,52
kroC100,8.362 %,8.362 %,7.311 %,7.311 %,0.086 sec,0.019 sec,0.065 sec,0.151 sec,319,5239,13512,0,20,20
rd100,11.580 %,9.924 %,4.286 %,5.474 %,0.089 sec,0.056 sec,0.172 sec,0.185 sec,1024,12044,16904,0,40,28
eil101,8.903 %,8.267 %,3.975 %,3.657 %,0.122 sec,0.097 sec,0.178 sec,0.315 sec,1123,8665,22743,0,20,32
lin105,7.177 %,6.203 %,4.291 %,2.949 %,0.102 sec,0.049 sec,0.168 sec,0.304 sec,993,12994,26852,0,12,12
pr107,8.981 %,6.392 %,6.544 %,6.729 %,0.091 sec,0.059 sec,0.078 sec,0.101 sec,1030,5499,8158,0,12,12
pr124,4.911 %,4.787 %,3.678 %,4.618 %,0.100 sec,0.052 sec,0.099 sec,0.104 sec,536,7587,8811,0,4,4
bier127,4.500 %,3.555 %,2.835 %,1.294 %,0.127 sec,0.061 sec,0.108 sec,0.354 sec,958,7255,24791,0,28,36
ch130,7.414 %,5.712 %,2.881 %,2.619 %,0.130 sec,0.084 sec,0.226 sec,0.454 sec,1293,15774,31319,0,40,48
pr136,13.281 %,7.266 %,3.682 %,3.431 %,0.165 sec,0.297 sec,0.427 sec,0.544 sec,4048,25833,44297,0,44,48
gr137,9.742 %,8.298 %,3.223 %,3.931 %,0.142 sec,0.080 sec,0.195 sec,0.279 sec,1232,14105,23855,0,16,28
pr144,6.628 %,3.114 %,3.094 %,3.094 %,0.164 sec,0.172 sec,0.141 sec,0.242 sec,2401,9869,20529,0,12,12
kroA150,10.507 %,8.189 %,5.976 %,5.923 %,0.146 sec,0.164 sec,0.282 sec,0.585 sec,2730,16163,36567,0,32,32
pr152,7.204 %,4.887 %,2.834 %,2.834 %,0.138 sec,0.114 sec,0.186 sec,0.599 sec,1056,10325,33618,0,32,32
u159,8.869 %,6.238 %,3.306 %,3.493 %,0.209 sec,0.200 sec,0.415 sec,0.767 sec,2558,29703,55631,0,32,32
rat195,7.576 %,4.907 %,5.768 %,4.520 %,0.369 sec,0.237 sec,0.203 sec,0.252 sec,2385,15501,22506,0,12,16
d198,7.510 %,4.924 %,2.921 %,2.345 %,0.257 sec,0.305 sec,0.867 sec,0.963 sec,4333,47018,78308,0,56,48
kroA200,11.097 %,8.986 %,6.136 %,5.942 %,0.265 sec,0.383 sec,0.765 sec,1.892 sec,5026,39748,113081,0,56,60
gr202,7.367 %,5.677 %,3.678 %,3.701 %,0.292 sec,0.306 sec,0.953 sec,1.116 sec,4282,58414,83829,0,48,52
ts225,8.924 %,4.878 %,4.264 %,2.580 %,0.268 sec,0.151 sec,0.262 sec,1.108 sec,1435,13151,49744,0,32,28
tsp225,9.790 %,8.573 %,6.656 %,5.905 %,0.361 sec,0.268 sec,0.657 sec,0.989 sec,2673,33237,57927,0,48,48
pr226,10.783 %,5.301 %,5.080 %,3.936 %,0.329 sec,0.297 sec,0.534 sec,1.038 sec,2819,27516,57090,0,52,48
gr229,7.593 %,6.578 %,2.222 %,1.842 %,0.455 sec,0.424 sec,1.324 sec,1.914 sec,5546,66060,132579,0,56,56
gil262,7.653 %,6.728 %,5.467 %,5.172 %,0.571 sec,0.444 sec,0.539 sec,0.879 sec,4096,35381,71950,0,40,44
pr264,4.919 %,3.627 %,2.729 %,3.696 %,0.298 sec,0.238 sec,0.366 sec,0.719 sec,2471,25067,44360,0,20,24
a280,13.610 %,10.353 %,6.514 %,5.933 %,0.391 sec,0.517 sec,0.983 sec,2.051 sec,5975,69421,151856,0,96,88
pr299,9.172 %,6.682 %,4.681 %,4.185 %,0.470 sec,0.566 sec,1.252 sec,2.557 sec,6725,70773,142388,0,72,80
lin318,6.072 %,4.771 %,4.197 %,3.769 %,0.591 sec,0.640 sec,1.100 sec,1.772 sec,7320,56493,108719,0,36,36
rd400,8.193 %,7.100 %,6.354 %,6.034 %,0.789 sec,1.150 sec,1.419 sec,3.376 sec,9882,76804,190552,0,64,68
fl417,11.036 %,7.807 %,4.806 %,4.156 %,0.856 sec,3.313 sec,4.038 sec,7.522 sec,26227,223406,491684,0,164,176
gr431,6.942 %,5.516 %,3.625 %,3.446 %,0.708 sec,1.297 sec,2.659 sec,4.107 sec,14555,178033,315039,0,100,108
pr439,9.024 %,7.617 %,6.405 %,6.353 %,0.750 sec,1.649 sec,2.027 sec,3.745 sec,16347,126153,291418,0,72,80
pcb442,11.550 %,9.762 %,5.540 %,6.477 %,0.622 sec,0.672 sec,2.654 sec,3.738 sec,7390,141209,307375,0,116,120
d493,8.535 %,5.783 %,4.123 %,4.352 %,0.804 sec,1.834 sec,2.717 sec,5.901 sec,19466,180018,477135,0,160,196
att532,7.596 %,5.139 %,3.946 %,4.054 %,1.185 sec,1.874 sec,3.143 sec,4.685 sec,22949,227747,385183,0,112,116
u574,8.470 %,6.698 %,4.766 %,4.948 %,1.225 sec,2.450 sec,2.690 sec,6.602 sec,27603,198096,560975,0,116,124
rat575,10.320 %,8.091 %,5.212 %,5.699 %,1.089 sec,1.562 sec,4.836 sec,5.627 sec,17973,351381,427410,0,148,148
d657,7.694 %,6.164 %,5.183 %,4.815 %,1.870 sec,3.482 sec,4.640 sec,9.644 sec,33233,320812,626853,0,136,136
gr666,9.314 %,8.232 %,6.297 %,6.333 %,1.807 sec,3.159 sec,5.187 sec,8.810 sec,27083,334191,622260,0,132,148
u724,7.375 %,4.820 %,3.815 %,4.495 %,2.397 sec,4.150 sec,6.803 sec,7.803 sec,34856,387907,558833,0,132,108
rat783,7.328 %,5.179 %,4.608 %,4.714 %,2.296 sec,3.915 sec,5.059 sec,6.510 sec,39314,367319,534385,0,112,104
pr1002,9.689 %,7.608 %,4.571 %,4.998 %,3.498 sec,9.032 sec,17.693 sec,25.389 sec,64960,1057453,1794936,0,332,344
u1060,9.869 %,7.575 %,5.630 %,5.399 %,3.692 sec,11.112 sec,18.912 sec,29.535 sec,82997,1108906,1959070,0,308,300
vm1084,9.615 %,6.999 %,6.236 %,5.557 %,5.358 sec,12.284 sec,9.348 sec,21.389 sec,86291,559728,1270057,0,148,172
pcb1173,10.021 %,8.666 %,6.363 %,6.396 %,5.481 sec,10.056 sec,17.579 sec,23.591 sec,60823,904263,1488434,0,224,228
d1291,7.364 %,5.697 %,3.811 %,4.667 %,4.609 sec,10.521 sec,6.844 sec,20.766 sec,46644,420112,1214377,0,120,112
rl1304,7.485 %,6.629 %,6.269 %,6.236 %,5.715 sec,6.213 sec,8.548 sec,8.251 sec,35795,446985,565990,0,52,60
rl1323,7.113 %,5.650 %,4.960 %,4.965 %,5.367 sec,7.263 sec,7.770 sec,11.813 sec,40692,423296,780034,0,60,84
nrw1379,8.125 %,6.699 %,4.924 %,4.931 %,6.877 sec,18.141 sec,17.682 sec,33.779 sec,108139,1044543,2100933,0,244,264
fl1400,10.086 %,7.805 %,5.162 %,6.052 %,6.204 sec,27.138 sec,42.601 sec,45.237 sec,163491,2177006,3314550,0,408,448
u1432,11.605 %,10.449 %,7.368 %,7.007 %,4.730 sec,7.853 sec,11.125 sec,26.162 sec,50228,749720,1985986,0,268,296
fl1577,11.834 %,8.297 %,6.274 %,6.751 %,5.609 sec,17.091 sec,37.948 sec,50.491 sec,93849,1918658,3098412,0,348,364
d1655,10.125 %,7.721 %,6.250 %,6.533 %,9.298 sec,25.266 sec,23.304 sec,31.324 sec,92858,1122389,1871530,0,176,192
