Problem,ML-model,Gap ML-C,Gap NO simple,Time ML-C,Time NO simple,Operations NO simple,Removed NO simple,First phase edges
rd100,Nearest Neighbour,11.580 %,11.580 %,0.105 sec,0.000 sec,0,0,128
kroA100,Nearest Neighbour,9.618 %,9.618 %,0.203 sec,0.000 sec,0,0,132
eil101,Nearest Neighbour,8.903 %,8.903 %,0.118 sec,0.000 sec,0,0,130
lin105,Nearest Neighbour,7.177 %,7.177 %,0.256 sec,0.000 sec,0,0,130
d198,Nearest Neighbour,7.510 %,7.510 %,0.256 sec,0.000 sec,0,0,274
pr124,Nearest Neighbour,4.911 %,4.911 %,0.266 sec,0.000 sec,0,0,172
ch130,Nearest Neighbour,7.414 %,7.414 %,0.331 sec,0.000 sec,0,0,166
gr137,Nearest Neighbour,9.742 %,9.742 %,0.330 sec,0.000 sec,0,0,186
u159,Nearest Neighbour,8.869 %,8.869 %,0.342 sec,0.000 sec,0,0,222
kroA150,Nearest Neighbour,10.507 %,10.507 %,0.368 sec,0.000 sec,0,0,188
kroC100,Nearest Neighbour,8.362 %,8.362 %,0.235 sec,0.000 sec,0,0,128
pr107,Nearest Neighbour,8.981 %,8.981 %,0.215 sec,0.000 sec,0,0,136
pr152,Nearest Neighbour,7.204 %,7.204 %,0.150 sec,0.000 sec,0,0,232
gr202,Nearest Neighbour,7.367 %,7.367 %,0.569 sec,0.000 sec,0,0,260
bier127,Nearest Neighbour,4.500 %,4.500 %,0.341 sec,0.000 sec,0,0,168
pr136,Nearest Neighbour,13.281 %,13.281 %,0.366 sec,0.000 sec,0,0,176
pr144,Nearest Neighbour,6.628 %,6.628 %,0.440 sec,0.000 sec,0,0,192
kroA200,Nearest Neighbour,11.097 %,11.097 %,0.512 sec,0.000 sec,0,0,256
tsp225,Nearest Neighbour,9.790 %,9.790 %,0.614 sec,0.000 sec,0,0,300
rat195,Nearest Neighbour,7.576 %,7.576 %,0.670 sec,0.000 sec,0,0,252
pr226,Nearest Neighbour,10.783 %,10.783 %,0.313 sec,0.000 sec,0,0,326
ts225,Nearest Neighbour,8.924 %,8.924 %,0.622 sec,0.000 sec,0,0,334
pr264,Nearest Neighbour,4.919 %,4.919 %,0.727 sec,0.000 sec,0,0,372
gr229,Nearest Neighbour,7.593 %,7.593 %,0.805 sec,0.000 sec,0,0,300
pr299,Nearest Neighbour,9.172 %,9.172 %,0.881 sec,0.000 sec,0,0,390
gr431,Nearest Neighbour,6.942 %,6.942 %,1.084 sec,0.000 sec,0,0,564
a280,Nearest Neighbour,13.610 %,13.610 %,0.645 sec,0.000 sec,0,0,394
gil262,Nearest Neighbour,7.653 %,7.653 %,0.929 sec,0.000 sec,0,0,330
rd400,Nearest Neighbour,8.193 %,8.193 %,1.790 sec,0.000 sec,0,0,518
pcb442,Nearest Neighbour,11.550 %,11.550 %,1.729 sec,0.000 sec,0,0,626
lin318,Nearest Neighbour,6.072 %,6.072 %,1.339 sec,0.000 sec,0,0,400
pr439,Nearest Neighbour,9.024 %,9.024 %,1.655 sec,0.000 sec,0,0,588
att532,Nearest Neighbour,7.596 %,7.596 %,3.258 sec,0.000 sec,0,0,684
gr666,Nearest Neighbour,9.314 %,9.314 %,2.891 sec,0.000 sec,0,0,884
rat575,Nearest Neighbour,10.320 %,10.320 %,3.071 sec,0.000 sec,0,0,752
fl417,Nearest Neighbour,11.036 %,11.036 %,1.868 sec,0.000 sec,0,0,566
d493,Nearest Neighbour,8.535 %,8.535 %,2.447 sec,0.000 sec,0,0,666
rat783,Nearest Neighbour,7.328 %,7.328 %,5.229 sec,0.000 sec,0,0,1012
u574,Nearest Neighbour,8.470 %,8.470 %,3.112 sec,0.000 sec,0,0,748
d657,Nearest Neighbour,7.694 %,7.694 %,3.871 sec,0.000 sec,0,0,852
u724,Nearest Neighbour,7.375 %,7.375 %,3.988 sec,0.000 sec,0,0,952
u1060,Nearest Neighbour,9.869 %,9.869 %,7.785 sec,0.000 sec,0,0,1404
pr1002,Nearest Neighbour,9.689 %,9.689 %,5.849 sec,0.000 sec,0,0,1320
rl1304,Nearest Neighbour,7.485 %,7.485 %,9.895 sec,0.000 sec,0,0,1754
pcb1173,Nearest Neighbour,10.021 %,10.021 %,11.219 sec,0.000 sec,0,0,1540
nrw1379,Nearest Neighbour,8.125 %,8.125 %,10.694 sec,0.000 sec,0,0,1788
u1432,Nearest Neighbour,11.605 %,11.605 %,10.500 sec,0.000 sec,0,0,2036
vm1084,Nearest Neighbour,9.615 %,9.615 %,6.032 sec,0.000 sec,0,0,1428
d1655,Nearest Neighbour,10.125 %,10.125 %,11.079 sec,0.000 sec,0,0,2330
d1291,Nearest Neighbour,7.364 %,7.364 %,5.651 sec,0.000 sec,0,0,1882
rl1323,Nearest Neighbour,7.113 %,7.113 %,7.311 sec,0.000 sec,0,0,1814
fl1400,Nearest Neighbour,10.086 %,10.086 %,7.732 sec,0.000 sec,0,0,1862
fl1577,Nearest Neighbour,11.834 %,11.834 %,7.450 sec,0.000 sec,0,0,2272
vm1748,Nearest Neighbour,10.027 %,10.027 %,11.367 sec,0.000 sec,0,0,2304
