Problem,Gap ML-C,Gap 2-Opt reduce,Gap 2-Opt free,Gap 2-Opt complete,Time ML-C,Time 2-Opt reduce,Time 2-Opt free,Time 2-Opt complete,Operations 2-Opt reduce,Operations 2-Opt free,Operations 2-Opt complete,Removed 2-Ops reduce,Removed 2-Opt free,Removed 2-Opt complete
kroA100,9.618 %,8.519 %,4.934 %,4.920 %,0.082 sec,0.038 sec,0.025 sec,0.080 sec,1661,13359,60107,0,32,48
kroC100,8.362 %,8.362 %,7.311 %,7.311 %,0.087 sec,0.013 sec,0.022 sec,0.037 sec,630,13801,29348,0,20,20
rd100,11.580 %,9.924 %,4.172 %,4.716 %,0.086 sec,0.045 sec,0.043 sec,0.049 sec,2140,26257,37262,0,32,36
eil101,8.903 %,7.154 %,5.723 %,3.180 %,0.089 sec,0.066 sec,0.022 sec,0.072 sec,3172,12456,57208,0,24,28
lin105,7.177 %,6.203 %,5.404 %,2.949 %,0.100 sec,0.042 sec,0.021 sec,0.084 sec,2073,13462,61326,0,8,12
pr107,8.981 %,4.885 %,5.085 %,5.230 %,0.086 sec,0.071 sec,0.025 sec,0.030 sec,3545,13466,22483,0,20,20
pr124,4.911 %,3.847 %,3.847 %,3.678 %,0.099 sec,0.043 sec,0.020 sec,0.033 sec,1840,14967,29480,0,0,4
bier127,4.500 %,3.555 %,2.186 %,1.294 %,0.114 sec,0.047 sec,0.064 sec,0.102 sec,2204,47158,91755,0,32,36
ch130,7.414 %,5.712 %,4.926 %,3.715 %,0.121 sec,0.089 sec,0.057 sec,0.121 sec,4068,40225,108976,0,28,40
pr136,13.281 %,7.266 %,5.116 %,4.263 %,0.146 sec,0.342 sec,0.110 sec,0.152 sec,15028,81339,135592,0,36,48
gr137,9.742 %,8.298 %,4.085 %,3.931 %,0.122 sec,0.089 sec,0.058 sec,0.080 sec,3723,39276,69578,0,20,28
pr144,6.628 %,2.277 %,3.441 %,1.874 %,0.146 sec,0.256 sec,0.038 sec,0.102 sec,10585,26578,92721,0,8,8
kroA150,10.507 %,8.189 %,8.012 %,5.746 %,0.138 sec,0.194 sec,0.085 sec,0.150 sec,9071,63806,138101,0,16,28
pr152,7.204 %,4.887 %,3.218 %,1.531 %,0.102 sec,0.093 sec,0.045 sec,0.133 sec,3375,31804,116360,0,20,28
u159,8.869 %,6.238 %,5.480 %,4.432 %,0.126 sec,0.204 sec,0.104 sec,0.143 sec,8052,79236,130678,0,28,32
rat195,7.576 %,4.907 %,5.510 %,5.424 %,0.269 sec,0.338 sec,0.109 sec,0.179 sec,10812,66053,111753,0,8,20
d198,7.510 %,4.924 %,3.479 %,2.345 %,0.191 sec,0.465 sec,0.230 sec,0.466 sec,17531,169740,417841,0,44,48
kroA200,11.097 %,8.986 %,7.031 %,5.942 %,0.227 sec,0.576 sec,0.259 sec,0.548 sec,23237,196678,518977,0,56,60
gr202,7.367 %,5.677 %,4.922 %,3.847 %,0.204 sec,0.405 sec,0.322 sec,0.396 sec,16948,163411,366399,0,44,60
ts225,8.924 %,4.878 %,6.795 %,2.937 %,0.220 sec,0.224 sec,0.072 sec,0.266 sec,7179,51826,245747,0,32,28
tsp225,9.790 %,8.573 %,6.553 %,6.423 %,0.260 sec,0.387 sec,0.215 sec,0.294 sec,14303,162568,260332,0,36,44
pr226,10.783 %,5.301 %,3.355 %,3.992 %,0.206 sec,0.464 sec,0.097 sec,0.320 sec,15460,68320,294906,0,32,48
gr229,7.593 %,6.578 %,4.592 %,2.301 %,0.278 sec,0.840 sec,0.419 sec,0.849 sec,27852,281108,642058,0,52,60
gil262,7.653 %,6.728 %,5.214 %,5.214 %,0.373 sec,0.746 sec,0.345 sec,0.516 sec,23930,239006,410583,0,36,40
pr264,4.919 %,3.450 %,3.350 %,2.973 %,0.304 sec,0.468 sec,0.143 sec,0.300 sec,13529,90861,244458,0,16,16
a280,13.610 %,10.353 %,7.949 %,5.428 %,0.301 sec,1.275 sec,0.480 sec,1.568 sec,36839,316629,1260216,0,72,96
pr299,9.172 %,6.682 %,4.935 %,4.401 %,0.442 sec,1.438 sec,0.753 sec,0.970 sec,44432,599227,882083,0,72,68
lin318,6.072 %,4.771 %,4.554 %,3.719 %,0.476 sec,1.617 sec,0.494 sec,1.075 sec,52821,411720,990469,0,28,40
rd400,8.193 %,7.087 %,6.466 %,5.556 %,0.631 sec,3.642 sec,0.918 sec,1.856 sec,102042,732547,1685151,0,60,76
fl417,11.036 %,7.411 %,6.829 %,3.322 %,0.619 sec,10.770 sec,2.740 sec,7.374 sec,281880,2238121,6212926,0,196,200
gr431,6.942 %,5.516 %,4.174 %,3.310 %,0.697 sec,5.867 sec,1.608 sec,3.021 sec,156520,1366093,2811886,0,76,100
pr439,9.024 %,7.617 %,6.898 %,6.286 %,0.690 sec,6.373 sec,1.265 sec,3.434 sec,165373,1059881,3179174,0,56,92
pcb442,11.550 %,9.762 %,6.822 %,6.759 %,0.599 sec,2.869 sec,1.842 sec,3.870 sec,72073,1214226,3506319,0,112,120
d493,8.535 %,5.783 %,4.209 %,4.137 %,0.776 sec,9.148 sec,2.049 sec,5.890 sec,225530,1630548,5237650,0,140,180
att532,7.596 %,5.139 %,5.153 %,4.313 %,1.092 sec,12.038 sec,2.533 sec,7.002 sec,291443,2003426,5882865,0,100,112
u574,8.470 %,6.457 %,4.983 %,4.904 %,1.140 sec,16.777 sec,3.429 sec,9.292 sec,368612,2592350,7980849,0,92,124
rat575,10.320 %,8.091 %,6.098 %,5.729 %,1.074 sec,12.138 sec,4.087 sec,6.853 sec,268771,3175455,5905481,0,116,136
d657,7.694 %,6.164 %,5.332 %,4.799 %,1.579 sec,25.318 sec,4.352 sec,12.463 sec,496794,3374981,10670320,0,128,136
