Problem,Gap ML-C,Gap 2-Opt-CL reduce,Gap 2-Opt-CL free,Gap 2-Opt-CL complete,Time ML-C,Time 2-Opt-CL reduce,Time 2-Opt-CL free,Time 2-Opt-CL complete,Operations 2-Opt-CL reduce,Operations 2-Opt-CL free,Operations 2-Opt-CL complete,Removed 2-Opt-CL reduce,Removed 2-Opt-CL free,Removed 2-Opt-CL complete
kroA100,3.792 %,0.465 %,1.433 %,1.109 %,0.069 sec,0.035 sec,0.074 sec,0.104 sec,409,5541,9330,0,16,20
kroC100,4.776 %,1.094 %,0.304 %,0.304 %,0.063 sec,0.015 sec,0.043 sec,0.321 sec,159,3308,11953,0,12,12
rd100,6.738 %,6.498 %,3.135 %,2.617 %,0.066 sec,0.010 sec,0.048 sec,0.143 sec,91,3153,13269,0,16,20
eil101,0.636 %,0.000 %,0.000 %,0.000 %,0.065 sec,0.011 sec,0.016 sec,0.058 sec,88,1281,5304,0,0,0
lin105,8.784 %,8.784 %,3.053 %,1.440 %,0.060 sec,0.010 sec,0.126 sec,0.184 sec,102,9713,21859,0,20,16
pr107,0.000 %,0.000 %,0.000 %,0.000 %,0.075 sec,0.010 sec,0.012 sec,0.032 sec,86,1033,2719,0,0,0
pr124,2.997 %,2.782 %,1.204 %,1.204 %,0.075 sec,0.018 sec,0.070 sec,0.173 sec,196,5582,15580,0,16,16
bier127,0.000 %,0.000 %,0.000 %,0.000 %,0.081 sec,0.007 sec,0.010 sec,0.039 sec,38,720,3106,0,0,0
ch130,7.774 %,0.000 %,0.131 %,0.131 %,0.095 sec,0.041 sec,0.052 sec,0.280 sec,399,4305,21490,0,4,4
pr136,3.713 %,1.419 %,0.579 %,0.861 %,0.105 sec,0.055 sec,0.070 sec,0.244 sec,543,5466,19891,0,8,8
gr137,3.188 %,2.813 %,2.663 %,2.682 %,0.093 sec,0.021 sec,0.054 sec,0.139 sec,171,4297,12347,0,12,20
pr144,3.962 %,2.106 %,2.732 %,2.732 %,0.103 sec,0.041 sec,0.073 sec,0.150 sec,423,5455,11796,0,12,12
kroA150,1.139 %,0.584 %,0.317 %,0.147 %,0.103 sec,0.023 sec,0.038 sec,0.259 sec,218,3101,19199,0,8,8
pr152,3.793 %,2.284 %,1.525 %,1.525 %,0.093 sec,0.014 sec,0.059 sec,0.115 sec,123,4774,10349,0,8,8
u159,8.137 %,7.429 %,3.500 %,4.099 %,0.100 sec,0.023 sec,0.103 sec,0.465 sec,189,7633,37308,0,24,44
rat195,0.000 %,0.000 %,0.000 %,0.000 %,0.125 sec,0.010 sec,0.013 sec,0.061 sec,43,1046,4788,0,0,0
d198,4.011 %,2.636 %,1.603 %,1.540 %,0.138 sec,0.031 sec,0.121 sec,0.322 sec,222,8169,29742,0,20,16
kroA200,2.094 %,1.256 %,1.256 %,1.345 %,0.151 sec,0.056 sec,0.055 sec,0.261 sec,409,3410,18787,0,0,8
gr202,1.825 %,1.305 %,0.649 %,0.640 %,0.152 sec,0.047 sec,0.141 sec,0.369 sec,451,9291,33348,0,36,48
ts225,11.330 %,11.330 %,7.988 %,10.438 %,0.150 sec,0.012 sec,0.098 sec,0.205 sec,48,7163,17296,0,16,16
tsp225,4.403 %,0.000 %,0.000 %,0.596 %,0.150 sec,0.075 sec,0.138 sec,0.466 sec,590,9507,39746,0,0,12
pr226,5.370 %,3.937 %,3.694 %,3.152 %,0.149 sec,0.042 sec,0.125 sec,0.599 sec,281,8562,45894,0,16,28
gr229,2.807 %,1.451 %,1.597 %,1.421 %,0.172 sec,0.079 sec,0.138 sec,0.292 sec,709,9919,24141,0,8,4
gil262,8.116 %,5.635 %,4.121 %,3.616 %,0.216 sec,0.177 sec,0.379 sec,1.185 sec,1728,27709,96578,0,36,56
pr264,3.739 %,3.494 %,3.311 %,2.465 %,0.158 sec,0.019 sec,0.039 sec,0.367 sec,70,2805,26866,0,4,28
a280,0.000 %,0.000 %,0.000 %,0.000 %,0.200 sec,0.018 sec,0.022 sec,0.111 sec,88,1644,7305,0,0,0
pr299,0.905 %,0.365 %,0.129 %,0.129 %,0.245 sec,0.074 sec,0.109 sec,0.341 sec,555,6804,24156,0,4,4
lin318,5.501 %,3.688 %,3.424 %,3.229 %,0.260 sec,0.204 sec,0.518 sec,1.064 sec,1918,33970,81256,0,20,48
rd400,3.351 %,2.362 %,1.695 %,1.610 %,0.358 sec,0.177 sec,0.413 sec,1.957 sec,1363,27361,142747,0,48,52
fl417,7.445 %,5.042 %,2.428 %,5.177 %,0.399 sec,0.821 sec,2.348 sec,2.035 sec,3121,66964,116509,0,48,76
gr431,4.528 %,4.214 %,3.229 %,2.571 %,0.387 sec,0.193 sec,0.552 sec,1.852 sec,1415,36413,156677,0,64,104
pr439,7.210 %,5.641 %,4.791 %,4.074 %,0.402 sec,0.308 sec,0.606 sec,2.531 sec,2196,42803,207722,0,40,40
pcb442,2.787 %,1.776 %,0.798 %,0.863 %,0.355 sec,0.092 sec,0.299 sec,1.177 sec,538,20404,97819,0,32,28
d493,4.352 %,3.052 %,2.537 %,2.109 %,0.436 sec,0.367 sec,0.422 sec,2.794 sec,2551,31199,221788,0,28,40
att532,3.830 %,1.997 %,1.473 %,1.251 %,0.513 sec,0.455 sec,0.938 sec,2.132 sec,3334,71817,191697,0,44,56
u574,4.495 %,3.374 %,2.563 %,2.157 %,0.557 sec,0.449 sec,0.504 sec,3.071 sec,3397,38010,267637,0,32,36
rat575,4.429 %,3.470 %,1.004 %,1.447 %,0.560 sec,0.189 sec,0.664 sec,1.866 sec,1262,50788,173579,0,44,68
d657,3.829 %,2.971 %,1.488 %,1.388 %,0.732 sec,0.436 sec,0.804 sec,2.382 sec,3219,60746,204755,0,48,64
gr666,6.785 %,5.291 %,4.667 %,4.283 %,0.701 sec,0.562 sec,1.757 sec,7.414 sec,3377,131388,620414,0,144,208
u724,3.054 %,2.243 %,1.033 %,0.978 %,0.654 sec,0.212 sec,0.844 sec,3.819 sec,1234,61676,323744,0,44,68
rat783,4.753 %,4.095 %,1.868 %,1.559 %,0.867 sec,0.451 sec,1.744 sec,5.103 sec,2439,125027,441451,0,64,108
pr1002,5.364 %,3.510 %,1.957 %,1.836 %,1.156 sec,1.079 sec,2.985 sec,9.626 sec,6037,218808,809083,0,112,148
u1060,6.703 %,5.589 %,3.689 %,3.544 %,1.449 sec,2.007 sec,4.700 sec,14.222 sec,11296,331236,1104665,0,148,200
vm1084,6.951 %,6.143 %,3.678 %,3.151 %,1.433 sec,1.423 sec,2.800 sec,8.642 sec,6465,143977,680636,0,100,132
pcb1173,5.790 %,2.438 %,3.951 %,3.498 %,1.211 sec,1.380 sec,1.854 sec,5.453 sec,7091,127815,468601,0,88,96
d1291,3.081 %,1.931 %,1.866 %,1.789 %,1.313 sec,0.562 sec,1.036 sec,4.627 sec,1880,71443,356059,0,28,28
rl1304,5.228 %,4.058 %,3.218 %,2.886 %,1.448 sec,1.709 sec,2.165 sec,10.992 sec,5633,144051,845688,0,68,76
rl1323,3.695 %,2.659 %,1.620 %,2.230 %,1.500 sec,1.688 sec,2.137 sec,10.696 sec,6841,148711,819970,0,44,72
nrw1379,3.738 %,2.122 %,1.404 %,1.181 %,1.635 sec,1.981 sec,3.426 sec,10.988 sec,7970,236732,868254,0,100,148
fl1400,8.471 %,6.514 %,4.407 %,4.685 %,3.930 sec,8.207 sec,14.639 sec,43.484 sec,45816,912656,3121430,0,312,312
u1432,5.725 %,4.195 %,3.161 %,2.231 %,1.885 sec,1.127 sec,3.643 sec,12.289 sec,4409,231380,878388,0,128,192
fl1577,4.373 %,0.517 %,2.009 %,0.625 %,1.501 sec,1.703 sec,1.708 sec,16.332 sec,5664,108235,1170228,0,72,92
d1655,5.659 %,4.090 %,3.802 %,3.457 %,1.903 sec,1.401 sec,2.202 sec,17.359 sec,4299,149055,1345436,0,100,160
