Problem,ML-model,Gap ML-C,Gap ILS reduce,Time ML-C,Time ILS reduce,Operations ILS reduce,Removed ILS reduce
rd100,Optimal Tour,6.738 %,0.000 %,0.167 sec,3.235 sec,8869,0
eil101,Optimal Tour,0.636 %,0.000 %,0.193 sec,5344.466 sec,6609497,0
lin105,Optimal Tour,8.784 %,0.000 %,0.151 sec,0.605 sec,1693,0
pr107,Optimal Tour,0.000 %,0.000 %,0.221 sec,18697.951 sec,52004839,0
kroA100,Optimal Tour,3.792 %,0.000 %,0.171 sec,3.893 sec,14595,0
kroC100,Optimal Tour,4.776 %,0.000 %,0.188 sec,4.090 sec,12847,0
pr124,Optimal Tour,2.997 %,0.000 %,0.188 sec,28.433 sec,94305,0
bier127,Optimal Tour,0.000 %,0.000 %,0.122 sec,41502.153 sec,31193680,0
ch130,Optimal Tour,7.774 %,0.000 %,0.248 sec,11.900 sec,37295,0
gr137,Optimal Tour,3.188 %,0.000 %,0.188 sec,0.175 sec,1021,0
pr136,Optimal Tour,3.713 %,0.000 %,0.403 sec,6.498 sec,13148,0
pr144,Optimal Tour,3.962 %,0.000 %,0.138 sec,154.538 sec,533397,0
kroA150,Optimal Tour,1.139 %,0.000 %,0.202 sec,2.890 sec,16332,0
pr152,Optimal Tour,3.793 %,0.000 %,0.273 sec,0.377 sec,1012,0
d198,Optimal Tour,4.011 %,0.000 %,0.380 sec,162.530 sec,324711,0
kroA200,Optimal Tour,2.094 %,0.000 %,0.594 sec,21.888 sec,46642,0
gr202,Optimal Tour,1.825 %,-0.000 %,0.506 sec,7.046 sec,14539,0
u159,Optimal Tour,8.137 %,0.000 %,0.265 sec,1.142 sec,3600,0
tsp225,Optimal Tour,4.403 %,0.000 %,0.444 sec,52422.832 sec,145872245,0
ts225,Optimal Tour,11.330 %,0.000 %,0.681 sec,2.916 sec,2740,0
pr226,Optimal Tour,5.370 %,0.000 %,0.287 sec,12.058 sec,40867,0
rat195,Optimal Tour,0.000 %,0.000 %,0.366 sec,64427.972 sec,69058673,0
gr229,Optimal Tour,2.807 %,0.000 %,0.596 sec,41.675 sec,101483,0
gil262,Optimal Tour,8.116 %,0.000 %,0.450 sec,65.559 sec,169381,0
pr264,Optimal Tour,3.739 %,0.000 %,0.227 sec,1303.342 sec,1493226,0
a280,Optimal Tour,0.000 %,0.000 %,0.663 sec,33000.497 sec,36620068,0
pr299,Optimal Tour,0.905 %,0.000 %,0.710 sec,119.328 sec,255460,0
lin318,Optimal Tour,5.501 %,0.000 %,0.859 sec,43.735 sec,108425,0
rd400,Optimal Tour,3.351 %,0.000 %,0.621 sec,334.026 sec,811519,0
fl417,Optimal Tour,7.445 %,0.000 %,1.230 sec,652.352 sec,1233688,0
pcb442,Optimal Tour,2.787 %,0.000 %,1.277 sec,342.547 sec,478554,0
d493,Optimal Tour,4.352 %,0.000 %,1.676 sec,2474.183 sec,4708454,0
rat575,Optimal Tour,4.429 %,0.000 %,2.228 sec,295.990 sec,471171,0
d657,Optimal Tour,3.829 %,0.000 %,2.393 sec,22271.418 sec,38713164,0
rat783,Optimal Tour,4.753 %,0.000 %,1.375 sec,4664.122 sec,6951823,0
pr1002,Optimal Tour,5.364 %,0.000 %,4.182 sec,14003.341 sec,20621057,0
u1060,Optimal Tour,6.703 %,0.377 %,4.935 sec,33434.044 sec,51362923,0
vm1084,Optimal Tour,6.951 %,0.294 %,2.700 sec,13033.957 sec,28836056,0
pcb1173,Optimal Tour,5.790 %,0.000 %,4.096 sec,1567.303 sec,1441508,0
d1291,Optimal Tour,3.081 %,0.465 %,4.222 sec,15680.064 sec,12299131,0
rl1304,Optimal Tour,5.228 %,0.037 %,1.889 sec,37322.836 sec,101101171,0
rl1323,Optimal Tour,3.695 %,0.319 %,1.644 sec,9099.095 sec,24704571,0
nrw1379,Optimal Tour,3.738 %,0.000 %,5.368 sec,7829.916 sec,6527105,0
fl1400,Optimal Tour,8.471 %,2.191 %,12.661 sec,59440.058 sec,177669309,0
u1432,Optimal Tour,5.725 %,0.000 %,2.991 sec,1005.055 sec,1000914,0
fl1577,Optimal Tour,4.373 %,0.000 %,1.809 sec,8224.393 sec,18245575,0
d1655,Optimal Tour,5.659 %,0.000 %,3.936 sec,9141.937 sec,5006589,0
vm1748,Optimal Tour,6.403 %,0.004 %,11.301 sec,14479.369 sec,20226042,0
att532,Optimal Tour,3.830 %,0.000 %,0.611 sec,185.680 sec,831514,0
gr431,Optimal Tour,4.528 %,0.000 %,0.470 sec,479.856 sec,2145726,0
pr439,Optimal Tour,7.210 %,0.000 %,0.490 sec,752.948 sec,3536796,0
u574,Optimal Tour,4.495 %,0.000 %,0.698 sec,1423.699 sec,7058866,0
gr666,Optimal Tour,6.785 %,-0.006 %,0.821 sec,2285.556 sec,8648352,0
u724,Optimal Tour,3.054 %,0.000 %,0.613 sec,250.450 sec,1150192,0
