Problem,ML-model,Gap ML-C,Gap NO simple,Time ML-C,Time NO simple,Operations NO simple,Removed NO simple,First phase edges
kroA100,Optimal Tour,3.792 %,3.792 %,0.088 sec,0.000 sec,0,0,156
gr137,Optimal Tour,3.188 %,3.188 %,0.114 sec,0.000 sec,0,0,226
lin105,Optimal Tour,8.784 %,8.784 %,0.161 sec,0.000 sec,0,0,168
rd100,Optimal Tour,6.738 %,6.738 %,0.178 sec,0.000 sec,0,0,160
pr124,Optimal Tour,2.997 %,2.997 %,0.206 sec,0.000 sec,0,0,202
kroC100,Optimal Tour,4.776 %,4.776 %,0.123 sec,0.000 sec,0,0,160
ch130,Optimal Tour,7.774 %,7.774 %,0.300 sec,0.000 sec,0,0,208
u159,Optimal Tour,8.137 %,8.137 %,0.314 sec,0.000 sec,0,0,270
kroA150,Optimal Tour,1.139 %,1.139 %,0.334 sec,0.000 sec,0,0,242
pr144,Optimal Tour,3.962 %,3.962 %,0.267 sec,0.000 sec,0,0,228
eil101,Optimal Tour,0.636 %,0.636 %,0.254 sec,0.000 sec,0,0,176
pr107,Optimal Tour,0.000 %,0.000 %,0.294 sec,0.000 sec,0,0,174
d198,Optimal Tour,4.011 %,4.011 %,0.461 sec,0.000 sec,0,0,328
gr202,Optimal Tour,1.825 %,1.825 %,0.510 sec,0.000 sec,0,0,328
bier127,Optimal Tour,0.000 %,0.000 %,0.317 sec,0.000 sec,0,0,224
rat195,Optimal Tour,0.000 %,0.000 %,0.324 sec,0.000 sec,0,0,350
pr152,Optimal Tour,3.793 %,3.793 %,0.361 sec,0.000 sec,0,0,254
pr136,Optimal Tour,3.713 %,3.713 %,0.406 sec,0.000 sec,0,0,220
tsp225,Optimal Tour,4.403 %,4.403 %,0.578 sec,0.000 sec,0,0,380
kroA200,Optimal Tour,2.094 %,2.094 %,0.463 sec,0.000 sec,0,0,328
gr229,Optimal Tour,2.807 %,2.807 %,0.634 sec,0.000 sec,0,0,372
pr264,Optimal Tour,3.739 %,3.739 %,0.645 sec,0.000 sec,0,0,468
ts225,Optimal Tour,11.330 %,11.330 %,0.591 sec,0.000 sec,0,0,404
pr299,Optimal Tour,0.905 %,0.905 %,0.958 sec,0.000 sec,0,0,496
pr226,Optimal Tour,5.370 %,5.370 %,0.741 sec,0.000 sec,0,0,388
gil262,Optimal Tour,8.116 %,8.116 %,0.610 sec,0.000 sec,0,0,420
gr431,Optimal Tour,4.528 %,4.528 %,1.106 sec,0.000 sec,0,0,710
lin318,Optimal Tour,5.501 %,5.501 %,0.411 sec,0.000 sec,0,0,508
rd400,Optimal Tour,3.351 %,3.351 %,1.293 sec,0.000 sec,0,0,644
a280,Optimal Tour,0.000 %,0.000 %,0.798 sec,0.000 sec,0,0,496
pcb442,Optimal Tour,2.787 %,2.787 %,1.270 sec,0.000 sec,0,0,762
rat575,Optimal Tour,4.429 %,4.429 %,1.384 sec,0.000 sec,0,0,968
att532,Optimal Tour,3.830 %,3.830 %,1.773 sec,0.000 sec,0,0,874
pr439,Optimal Tour,7.210 %,7.210 %,1.166 sec,0.000 sec,0,0,726
fl417,Optimal Tour,7.445 %,7.445 %,1.142 sec,0.000 sec,0,0,700
d493,Optimal Tour,4.352 %,4.352 %,1.311 sec,0.000 sec,0,0,812
gr666,Optimal Tour,6.785 %,6.785 %,2.173 sec,0.000 sec,0,0,1120
d657,Optimal Tour,3.829 %,3.829 %,1.359 sec,0.000 sec,0,0,1080
rat783,Optimal Tour,4.753 %,4.753 %,2.156 sec,0.000 sec,0,0,1320
u574,Optimal Tour,4.495 %,4.495 %,1.254 sec,0.000 sec,0,0,932
u1060,Optimal Tour,6.703 %,6.703 %,2.580 sec,0.000 sec,0,0,1726
u724,Optimal Tour,3.054 %,3.054 %,0.946 sec,0.000 sec,0,0,1226
pcb1173,Optimal Tour,5.790 %,5.790 %,2.956 sec,0.000 sec,0,0,2064
rl1304,Optimal Tour,5.228 %,5.228 %,3.265 sec,0.000 sec,0,0,2264
nrw1379,Optimal Tour,3.738 %,3.738 %,2.864 sec,0.000 sec,0,0,2380
u1432,Optimal Tour,5.725 %,5.725 %,3.125 sec,0.000 sec,0,0,2464
vm1084,Optimal Tour,6.951 %,6.951 %,2.194 sec,0.000 sec,0,0,1810
pr1002,Optimal Tour,5.364 %,5.364 %,2.751 sec,0.000 sec,0,0,1674
d1655,Optimal Tour,5.659 %,5.659 %,3.220 sec,0.000 sec,0,0,2968
d1291,Optimal Tour,3.081 %,3.081 %,1.993 sec,0.000 sec,0,0,2310
rl1323,Optimal Tour,3.695 %,3.695 %,2.532 sec,0.000 sec,0,0,2314
fl1577,Optimal Tour,4.373 %,4.373 %,1.895 sec,0.000 sec,0,0,2880
vm1748,Optimal Tour,6.403 %,6.403 %,3.528 sec,0.000 sec,0,0,2968
fl1400,Optimal Tour,8.471 %,8.471 %,4.749 sec,0.000 sec,0,0,2096
