Problem,Gap ML-C,Gap 2-Opt reduce,Gap 2-Opt free,Gap 2-Opt complete,Time ML-C,Time 2-Opt reduce,Time 2-Opt free,Time 2-Opt complete,Operations 2-Opt reduce,Operations 2-Opt free,Operations 2-Opt complete,Removed 2-Ops reduce,Removed 2-Opt free,Removed 2-Opt complete
kroA100,3.792 %,0.465 %,1.814 %,1.109 %,0.067 sec,0.025 sec,0.008 sec,0.034 sec,852,3956,27646,0,16,20
kroC100,4.776 %,1.094 %,3.031 %,0.670 %,0.061 sec,0.011 sec,0.012 sec,0.047 sec,377,6808,39837,0,20,12
rd100,6.738 %,6.498 %,4.855 %,4.855 %,0.064 sec,0.006 sec,0.012 sec,0.032 sec,191,7142,27098,0,20,20
eil101,0.636 %,0.000 %,0.000 %,0.000 %,0.062 sec,0.007 sec,0.005 sec,0.012 sec,151,2769,9998,0,0,0
lin105,8.784 %,8.784 %,1.829 %,2.636 %,0.058 sec,0.007 sec,0.026 sec,0.039 sec,210,15983,29861,0,16,20
pr107,0.000 %,0.000 %,0.000 %,0.000 %,0.071 sec,0.006 sec,0.012 sec,0.013 sec,190,6187,5671,0,0,0
pr124,2.997 %,2.782 %,1.204 %,1.204 %,0.072 sec,0.015 sec,0.025 sec,0.050 sec,437,16873,42304,0,16,16
bier127,0.000 %,0.000 %,0.000 %,0.000 %,0.079 sec,0.006 sec,0.009 sec,0.009 sec,105,5679,8001,0,0,0
ch130,7.774 %,0.000 %,2.962 %,0.131 %,0.091 sec,0.042 sec,0.017 sec,0.088 sec,1289,7560,66290,0,12,4
pr136,3.713 %,1.419 %,1.708 %,1.687 %,0.104 sec,0.054 sec,0.014 sec,0.062 sec,1654,8138,55782,0,8,8
gr137,3.188 %,2.813 %,2.787 %,2.682 %,0.091 sec,0.018 sec,0.011 sec,0.041 sec,543,6959,36794,0,8,20
pr144,3.962 %,2.050 %,1.633 %,1.577 %,0.100 sec,0.055 sec,0.015 sec,0.058 sec,1758,7445,51184,0,4,4
kroA150,1.139 %,0.584 %,0.490 %,0.147 %,0.101 sec,0.025 sec,0.024 sec,0.068 sec,747,15412,61703,0,16,8
pr152,3.793 %,2.284 %,2.284 %,1.539 %,0.091 sec,0.016 sec,0.008 sec,0.055 sec,349,3557,44957,0,0,8
u159,8.137 %,7.429 %,2.015 %,3.579 %,0.100 sec,0.022 sec,0.053 sec,0.103 sec,552,28945,82845,0,16,28
rat195,0.000 %,0.000 %,0.000 %,0.000 %,0.121 sec,0.011 sec,0.017 sec,0.020 sec,190,11500,18915,0,0,0
d198,4.011 %,2.636 %,1.990 %,0.913 %,0.135 sec,0.045 sec,0.024 sec,0.218 sec,1184,15257,162087,0,12,24
kroA200,2.094 %,1.256 %,1.474 %,1.345 %,0.156 sec,0.085 sec,0.022 sec,0.110 sec,2125,11960,87330,0,8,8
gr202,1.825 %,1.305 %,0.864 %,0.724 %,0.155 sec,0.078 sec,0.039 sec,0.172 sec,2041,21594,137594,0,20,44
ts225,11.330 %,11.330 %,8.343 %,6.331 %,0.168 sec,0.018 sec,0.031 sec,0.102 sec,253,15113,74831,0,12,12
tsp225,4.403 %,0.000 %,0.363 %,0.596 %,0.164 sec,0.147 sec,0.090 sec,0.294 sec,2983,48012,232725,0,12,12
pr226,5.370 %,3.937 %,4.614 %,3.152 %,0.150 sec,0.074 sec,0.032 sec,0.332 sec,1448,16506,268499,0,16,28
gr229,2.807 %,1.451 %,2.317 %,0.966 %,0.178 sec,0.142 sec,0.060 sec,0.162 sec,3406,38803,130261,0,16,8
gil262,8.116 %,5.635 %,4.079 %,3.238 %,0.222 sec,0.413 sec,0.229 sec,0.651 sec,9788,145976,511900,0,28,44
pr264,3.739 %,3.494 %,2.298 %,0.910 %,0.167 sec,0.035 sec,0.079 sec,0.161 sec,597,47017,129189,0,24,12
a280,0.000 %,0.000 %,0.000 %,0.000 %,0.211 sec,0.031 sec,0.036 sec,0.042 sec,496,26682,39060,0,0,0
pr299,0.905 %,0.365 %,0.129 %,0.129 %,0.236 sec,0.151 sec,0.043 sec,0.173 sec,3736,32236,160242,0,4,4
lin318,5.501 %,3.688 %,4.150 %,3.683 %,0.274 sec,0.605 sec,0.202 sec,0.680 sec,14705,129846,527289,0,24,44
