Problem,Gap ML-C,Gap 2-Opt-CL reduce,Gap 2-Opt-CL free,Gap 2-Opt-CL complete,Time ML-C,Time 2-Opt-CL reduce,Time 2-Opt-CL free,Time 2-Opt-CL complete,Operations 2-Opt-CL reduce,Operations 2-Opt-CL free,Operations 2-Opt-CL complete,Removed 2-Opt-CL reduce,Removed 2-Opt-CL free,Removed 2-Opt-CL complete
kroA100,6.710 %,3.848 %,2.439 %,2.439 %,0.144 sec,0.112 sec,0.222 sec,0.252 sec,2900,15709,17034,0,16,16
kroC100,7.249 %,6.342 %,6.111 %,6.111 %,0.155 sec,0.133 sec,0.160 sec,0.166 sec,3655,10055,11233,0,4,4
rd100,9.608 %,7.965 %,5.740 %,7.004 %,0.143 sec,0.249 sec,0.226 sec,0.298 sec,7007,15540,22470,0,12,12
eil101,4.769 %,3.657 %,3.657 %,3.657 %,0.177 sec,0.097 sec,0.143 sec,0.062 sec,4393,9926,5158,0,0,0
lin105,8.464 %,3.902 %,3.637 %,3.498 %,0.148 sec,0.186 sec,0.240 sec,0.233 sec,5093,15972,19476,0,4,4
pr107,9.785 %,8.336 %,8.957 %,8.444 %,0.183 sec,0.116 sec,0.101 sec,0.103 sec,3347,6478,7944,0,8,4
pr124,5.694 %,5.479 %,3.608 %,4.196 %,0.196 sec,0.102 sec,0.153 sec,0.097 sec,2968,10855,8346,0,4,4
bier127,3.926 %,3.317 %,2.380 %,2.313 %,0.183 sec,0.164 sec,0.254 sec,0.265 sec,3765,16440,18517,0,12,12
ch130,5.336 %,2.995 %,2.439 %,2.439 %,0.213 sec,0.342 sec,0.206 sec,0.500 sec,9040,13931,41292,0,12,12
pr136,7.802 %,5.138 %,4.518 %,4.383 %,0.215 sec,0.160 sec,0.245 sec,0.145 sec,3436,18577,14570,0,8,8
gr137,5.160 %,4.454 %,3.215 %,3.215 %,0.220 sec,0.127 sec,0.207 sec,0.199 sec,3485,16260,16576,0,8,8
pr144,5.793 %,3.164 %,2.691 %,3.425 %,0.276 sec,0.269 sec,0.454 sec,0.374 sec,9652,24443,15952,0,4,4
kroA150,7.099 %,6.500 %,5.493 %,5.493 %,0.246 sec,0.151 sec,0.237 sec,0.207 sec,3717,15967,15923,0,8,8
pr152,8.290 %,2.755 %,3.162 %,2.754 %,0.251 sec,0.667 sec,0.331 sec,0.632 sec,20090,21342,47560,0,12,12
u159,9.259 %,7.845 %,6.010 %,7.172 %,0.271 sec,0.167 sec,0.467 sec,0.543 sec,4420,32750,38841,0,8,8
rat195,8.997 %,6.543 %,6.543 %,6.543 %,0.428 sec,0.349 sec,0.445 sec,0.226 sec,12165,29152,18602,0,0,0
d198,6.172 %,4.297 %,3.428 %,2.953 %,0.405 sec,0.565 sec,0.801 sec,0.669 sec,15328,55446,60529,0,12,12
kroA200,9.241 %,6.153 %,5.908 %,6.081 %,0.405 sec,0.832 sec,0.628 sec,0.733 sec,18462,43797,60521,0,20,12
gr202,4.754 %,2.941 %,2.305 %,2.305 %,0.400 sec,0.914 sec,0.274 sec,0.331 sec,24558,20254,27309,0,8,8
ts225,6.520 %,6.396 %,6.396 %,6.396 %,0.474 sec,0.236 sec,0.322 sec,0.152 sec,5408,16696,11106,0,0,0
tsp225,9.972 %,5.154 %,4.766 %,5.154 %,0.544 sec,1.669 sec,1.682 sec,1.501 sec,41101,55234,68435,0,0,0
pr226,11.601 %,8.023 %,6.076 %,5.364 %,0.516 sec,1.094 sec,0.648 sec,0.893 sec,34989,43058,68241,0,16,20
gr229,5.996 %,4.807 %,2.574 %,2.137 %,0.429 sec,0.723 sec,0.887 sec,1.097 sec,16714,63205,85778,0,40,32
gil262,8.368 %,6.392 %,6.140 %,6.350 %,0.664 sec,1.255 sec,0.771 sec,0.867 sec,37737,54575,72545,0,8,4
pr264,5.872 %,3.928 %,3.214 %,4.972 %,0.418 sec,0.405 sec,0.412 sec,0.493 sec,5614,29599,37352,0,8,20
a280,12.679 %,8.375 %,9.228 %,8.375 %,0.757 sec,2.291 sec,1.084 sec,1.372 sec,101439,72998,127510,0,0,0
pr299,6.321 %,4.883 %,4.600 %,4.571 %,0.805 sec,1.581 sec,0.554 sec,1.482 sec,36400,34517,108631,0,12,16
lin318,8.097 %,5.620 %,5.413 %,5.439 %,0.718 sec,1.711 sec,1.839 sec,1.723 sec,31744,118294,129917,0,20,16
rd400,5.818 %,3.697 %,3.894 %,3.220 %,1.195 sec,3.147 sec,1.472 sec,2.425 sec,68677,103003,200384,0,20,28
fl417,10.261 %,5.185 %,2.251 %,3.322 %,1.436 sec,9.408 sec,5.652 sec,5.344 sec,310317,337692,408041,0,8,8
gr431,8.059 %,6.310 %,5.196 %,3.300 %,1.607 sec,3.010 sec,2.800 sec,2.427 sec,60167,191364,191400,0,28,36
pr439,7.990 %,6.162 %,4.699 %,6.122 %,1.321 sec,3.055 sec,2.977 sec,1.906 sec,49000,186676,133584,0,12,12
pcb442,7.308 %,4.659 %,5.207 %,4.963 %,1.496 sec,2.738 sec,1.696 sec,1.658 sec,74907,112814,128801,0,12,12
d493,7.098 %,4.740 %,4.315 %,4.609 %,1.788 sec,4.585 sec,3.471 sec,3.559 sec,111957,231442,266211,0,32,32
