Problem,ML-model,Gap ML-C,Gap NO simple,Time ML-C,Time NO simple,Operations NO simple,Removed NO simple,First phase edges
lin105,SVM,8.464 %,8.464 %,0.240 sec,0.000 sec,0,0,94
kroA100,SVM,6.710 %,6.710 %,0.488 sec,0.000 sec,0,0,78
rd100,SVM,9.608 %,9.608 %,0.494 sec,0.000 sec,0,0,80
pr107,SVM,9.785 %,9.785 %,0.311 sec,0.000 sec,0,0,74
pr124,SVM,5.694 %,5.694 %,0.677 sec,0.000 sec,0,0,90
ch130,SVM,5.336 %,5.336 %,0.732 sec,0.000 sec,0,0,108
gr137,SVM,5.160 %,5.160 %,0.754 sec,0.000 sec,0,0,120
gr202,SVM,4.754 %,4.754 %,0.819 sec,0.000 sec,0,0,150
kroA150,SVM,7.099 %,7.099 %,0.842 sec,0.000 sec,0,0,122
u159,SVM,9.259 %,9.259 %,0.931 sec,0.000 sec,0,0,126
kroC100,SVM,7.249 %,7.249 %,0.513 sec,0.000 sec,0,0,78
d198,SVM,6.172 %,6.172 %,1.039 sec,0.000 sec,0,0,142
eil101,SVM,4.769 %,4.769 %,0.610 sec,0.000 sec,0,0,22
bier127,SVM,3.926 %,3.926 %,0.629 sec,0.000 sec,0,0,126
pr144,SVM,5.793 %,5.793 %,0.620 sec,0.000 sec,0,0,62
pr136,SVM,7.802 %,7.802 %,0.746 sec,0.000 sec,0,0,136
pr152,SVM,8.290 %,8.290 %,0.851 sec,0.000 sec,0,0,80
kroA200,SVM,9.241 %,9.241 %,0.829 sec,0.000 sec,0,0,172
gr229,SVM,5.996 %,5.996 %,1.148 sec,0.000 sec,0,0,204
tsp225,SVM,9.972 %,9.972 %,1.613 sec,0.000 sec,0,0,94
rat195,SVM,8.997 %,8.997 %,1.270 sec,0.000 sec,0,0,82
ts225,SVM,6.520 %,6.520 %,1.545 sec,0.000 sec,0,0,144
pr264,SVM,5.872 %,5.872 %,1.265 sec,0.000 sec,0,0,318
pr299,SVM,6.321 %,6.321 %,1.786 sec,0.000 sec,0,0,214
pr226,SVM,11.601 %,11.601 %,1.492 sec,0.000 sec,0,0,98
gil262,SVM,8.368 %,8.368 %,1.570 sec,0.000 sec,0,0,148
a280,SVM,12.679 %,12.679 %,2.243 sec,0.000 sec,0,0,60
lin318,SVM,8.097 %,8.097 %,1.768 sec,0.000 sec,0,0,292
rd400,SVM,5.818 %,5.818 %,4.024 sec,0.000 sec,0,0,302
pcb442,SVM,7.308 %,7.308 %,3.936 sec,0.000 sec,0,0,232
gr431,SVM,8.059 %,8.059 %,4.241 sec,0.000 sec,0,0,358
att532,SVM,8.169 %,8.169 %,6.758 sec,0.000 sec,0,0,378
d493,SVM,7.098 %,7.098 %,3.102 sec,0.000 sec,0,0,292
gr666,SVM,8.461 %,8.461 %,6.750 sec,0.000 sec,0,0,570
pr439,SVM,7.990 %,7.990 %,4.287 sec,0.000 sec,0,0,396
fl417,SVM,10.261 %,10.261 %,4.929 sec,0.000 sec,0,0,108
rat575,SVM,8.342 %,8.342 %,8.787 sec,0.000 sec,0,0,242
u574,SVM,6.845 %,6.845 %,7.697 sec,0.000 sec,0,0,470
rat783,SVM,8.345 %,8.345 %,14.092 sec,0.000 sec,0,0,420
u724,SVM,7.786 %,7.786 %,10.853 sec,0.000 sec,0,0,508
d657,SVM,6.937 %,6.937 %,9.159 sec,0.000 sec,0,0,552
u1060,SVM,9.399 %,9.399 %,17.303 sec,0.000 sec,0,0,808
pcb1173,SVM,10.156 %,10.156 %,19.223 sec,0.000 sec,0,0,802
pr1002,SVM,8.579 %,8.579 %,8.629 sec,0.000 sec,0,0,890
rl1304,SVM,8.325 %,8.325 %,23.148 sec,0.000 sec,0,0,1008
nrw1379,SVM,8.470 %,8.470 %,21.354 sec,0.000 sec,0,0,848
vm1084,SVM,9.795 %,9.795 %,10.981 sec,0.000 sec,0,0,842
u1432,SVM,8.972 %,8.972 %,28.567 sec,0.000 sec,0,0,470
d1291,SVM,7.380 %,7.380 %,16.434 sec,0.000 sec,0,0,740
rl1323,SVM,8.115 %,8.115 %,14.486 sec,0.000 sec,0,0,1108
d1655,SVM,10.907 %,10.907 %,32.792 sec,0.000 sec,0,0,958
fl1400,SVM,9.152 %,9.152 %,18.735 sec,0.000 sec,0,0,310
fl1577,SVM,11.227 %,11.227 %,20.665 sec,0.000 sec,0,0,274
vm1748,SVM,9.329 %,9.329 %,21.538 sec,0.000 sec,0,0,1256
