Problem,Gap ML-C,Gap 2-Opt reduce,Gap 2-Opt free,Gap 2-Opt complete,Time ML-C,Time 2-Opt reduce,Time 2-Opt free,Time 2-Opt complete,Operations 2-Opt reduce,Operations 2-Opt free,Operations 2-Opt complete,Removed 2-Ops reduce,Removed 2-Opt free,Removed 2-Opt complete
kroA100,6.710 %,3.411 %,3.651 %,3.176 %,0.213 sec,0.172 sec,0.030 sec,0.051 sec,11877,18202,39775,0,8,12
kroC100,7.249 %,6.342 %,6.111 %,6.111 %,0.196 sec,0.112 sec,0.032 sec,0.039 sec,7591,16593,23871,0,4,4
rd100,9.608 %,7.965 %,5.815 %,7.737 %,0.159 sec,0.189 sec,0.057 sec,0.057 sec,13155,33645,43395,0,8,8
eil101,4.769 %,3.657 %,3.498 %,3.657 %,0.188 sec,0.081 sec,0.032 sec,0.016 sec,9268,21828,11361,0,0,0
lin105,8.464 %,3.902 %,4.298 %,3.498 %,0.154 sec,0.208 sec,0.061 sec,0.074 sec,13649,40177,50799,0,4,4
pr107,9.785 %,7.932 %,7.932 %,8.040 %,0.189 sec,0.176 sec,0.046 sec,0.042 sec,13117,30520,31449,0,4,4
pr124,5.694 %,4.891 %,4.891 %,3.608 %,0.206 sec,0.159 sec,0.033 sec,0.038 sec,9866,20145,27620,0,0,4
bier127,3.926 %,3.317 %,2.380 %,2.280 %,0.191 sec,0.244 sec,0.051 sec,0.088 sec,14004,30929,71825,0,12,16
ch130,5.336 %,2.995 %,2.160 %,2.439 %,0.228 sec,0.382 sec,0.076 sec,0.127 sec,22544,50858,102768,0,12,12
pr136,7.802 %,5.138 %,5.332 %,6.217 %,0.242 sec,0.212 sec,0.040 sec,0.067 sec,10938,27105,55866,0,4,8
gr137,5.160 %,4.454 %,3.215 %,3.215 %,0.231 sec,0.164 sec,0.068 sec,0.056 sec,10142,43286,47896,0,8,8
pr144,5.793 %,1.577 %,2.797 %,1.577 %,0.300 sec,0.713 sec,0.086 sec,0.136 sec,66480,58869,109858,0,4,0
kroA150,7.099 %,6.500 %,5.723 %,5.493 %,0.254 sec,0.191 sec,0.054 sec,0.067 sec,12533,37663,55050,0,4,8
pr152,8.290 %,2.761 %,3.033 %,2.552 %,0.268 sec,0.989 sec,0.088 sec,0.283 sec,78378,42337,209326,0,4,12
u159,9.259 %,7.818 %,6.711 %,7.196 %,0.303 sec,0.292 sec,0.133 sec,0.133 sec,15534,72483,87936,0,8,8
rat195,8.997 %,7.060 %,6.328 %,7.060 %,0.504 sec,0.723 sec,0.159 sec,0.118 sec,52274,99826,82015,0,0,0
d198,6.172 %,4.924 %,3.422 %,3.371 %,0.459 sec,1.103 sec,0.361 sec,0.360 sec,60784,225102,263249,0,24,16
kroA200,9.241 %,6.153 %,6.252 %,6.167 %,0.450 sec,2.284 sec,0.448 sec,0.492 sec,84097,201901,274698,0,12,16
gr202,4.754 %,2.934 %,2.717 %,2.345 %,0.542 sec,2.291 sec,0.229 sec,0.203 sec,101654,117859,168464,0,4,8
ts225,6.520 %,6.396 %,6.396 %,6.396 %,0.488 sec,0.383 sec,0.086 sec,0.065 sec,26162,63585,55136,0,0,0
